,organisation,alternative name,records lost,year,breach_date,story,sector,method,interesting story,data sensitivity,displayed records,source name,1st source link,2nd source link,ID,organisation_lower,Unnamed: 0,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate,article_date,Publication,Headline,URL,BreachMentioned,CompanyMentioned
0,Twitch,,10000000,2021,2021-10-01,"Full source code breach of the streaming gaming site revealed a trove of internal data & documents including core config packages, devtools, and payments to top streamers. ",gaming,hacked,y,4.0,unknown,BBC,https://www.bbc.co.uk/news/technology-58817658,,395,twitch,4526214,twitch,twitch.tv,2007.0,internet,1001 - 5000,"san francisco, california, united states",united states,linkedin.com/company/twitch-tv,1646,2097,2021-10-07,BBC,Twitch blames server error for massive data leak,https://www.bbc.com/news/technology-58829604,True,Twitch
1,Twitch,,10000000,2021,2021-10-01,"Full source code breach of the streaming gaming site revealed a trove of internal data & documents including core config packages, devtools, and payments to top streamers. ",gaming,hacked,y,4.0,unknown,BBC,https://www.bbc.co.uk/news/technology-58817658,,395,twitch,4526214,twitch,twitch.tv,2007.0,internet,1001 - 5000,"san francisco, california, united states",united states,linkedin.com/company/twitch-tv,1646,2097,2021-10-06,BBC,Twitch confirms massive data breach,https://www.bbc.com/news/technology-58817658,True,Twitch
2,Twitch,,10000000,2021,2021-10-01,"Full source code breach of the streaming gaming site revealed a trove of internal data & documents including core config packages, devtools, and payments to top streamers. ",gaming,hacked,y,4.0,unknown,BBC,https://www.bbc.co.uk/news/technology-58817658,,395,twitch,4526214,twitch,twitch.tv,2007.0,internet,1001 - 5000,"san francisco, california, united states",united states,linkedin.com/company/twitch-tv,1646,2097,2021-10-06,The Guardian,Twitch hack  Data breach exposed sensitive information,https://www.theguardian.com/technology/2021/oct/06/twitch-hack-data-breach-gaming-platform,True,Twitch
14,Neiman Marcus,,4600000,2021,2021-09-01,"Occurred sometime in May 2020 after ""an unauthorized party"" obtained the personal information of some Neiman Marcus customers from their online accounts.",retail,hacked,,3.0,,Ars Technica,https://arstechnica.com/information-technology/2021/10/neiman-marcus-data-breach-impacts-4-6-million-customers/,,392,neiman marcus,1597388,neiman marcus,neimanmarcus.com,1907.0,retail,5001 - 10000,"dallas, texas, united states",united states,linkedin.com/company/neiman-marcus,4651,15081,2021-10-02,Daily Mail,Neiman Marcus says 4.6 MILLION customers had their personal and credit card information hacked in cybersecurity breach,https://www.dailymail.co.uk/news/article-10047189/Neiman-Marcus-says-notified-4-6-mln-customers-data-breach.html,True,Neiman Marcus
22,Neiman Marcus,US retailer,1100000,2014,2014-01-01,Malware in the firm's IT system leaked customer payment data for several months.,retail,hacked,,2.0,,NY Times,http://www.nytimes.com/2014/01/24/business/neiman-marcus-breach-affected-1-1-million-cards.html,http://krebsonsecurity.com/2014/08/stealthy-razor-thin-atm-insert-skimmers/,175,neiman marcus,1597388,neiman marcus,neimanmarcus.com,1907.0,retail,5001 - 10000,"dallas, texas, united states",united states,linkedin.com/company/neiman-marcus,4651,15081,2014-01-11,Washington Post,Neiman Marcus,http://www.washingtonpost.com/business/technology/neiman-marcus-confirms-data-breach-offers-few-details/2014/01/11/56c6dc7e-7ae1-11e3-af7f-13bf0e9965f6_story.html,Yes,Neiman Marcus
23,Neiman Marcus,US retailer,1100000,2014,2014-01-01,Malware in the firm's IT system leaked customer payment data for several months.,retail,hacked,,2.0,,NY Times,http://www.nytimes.com/2014/01/24/business/neiman-marcus-breach-affected-1-1-million-cards.html,http://krebsonsecurity.com/2014/08/stealthy-razor-thin-atm-insert-skimmers/,175,neiman marcus,1597388,neiman marcus,neimanmarcus.com,1907.0,retail,5001 - 10000,"dallas, texas, united states",united states,linkedin.com/company/neiman-marcus,4651,15081,2014-01-23,New York Times,Neiman Marcus Breach Affected 1.1 Million Cards,http://www.nytimes.com/2014/01/24/business/neiman-marcus-breach-affected-1-1-million-cards.html?hpw&rref=business,Yes,Neiman Marcus
24,Neiman Marcus,US retailer,1100000,2014,2014-01-01,Malware in the firm's IT system leaked customer payment data for several months.,retail,hacked,,2.0,,NY Times,http://www.nytimes.com/2014/01/24/business/neiman-marcus-breach-affected-1-1-million-cards.html,http://krebsonsecurity.com/2014/08/stealthy-razor-thin-atm-insert-skimmers/,175,neiman marcus,1597388,neiman marcus,neimanmarcus.com,1907.0,retail,5001 - 10000,"dallas, texas, united states",united states,linkedin.com/company/neiman-marcus,4651,15081,2014-01-17,CNBC,Neiman Marcus breach undetected for 5 months NYT,http://www.cnbc.com/id/101344172,True,Neiman Marcus
25,Neiman Marcus,US retailer,1100000,2014,2014-01-01,Malware in the firm's IT system leaked customer payment data for several months.,retail,hacked,,2.0,,NY Times,http://www.nytimes.com/2014/01/24/business/neiman-marcus-breach-affected-1-1-million-cards.html,http://krebsonsecurity.com/2014/08/stealthy-razor-thin-atm-insert-skimmers/,175,neiman marcus,1597388,neiman marcus,neimanmarcus.com,1907.0,retail,5001 - 10000,"dallas, texas, united states",united states,linkedin.com/company/neiman-marcus,4651,15081,2014-01-11,Washington Post,Neiman Marcus customers at risk after data breach,http://www.washingtonpost.com/business/technology/neiman-marcus-confirms-data-breach-offers-few-details/2014/01/11/56c6dc7e-7ae1-11e3-af7f-13bf0e9965f6_story.html?tid=hpModule_79c38dfc-8691-11e2-9d71-f0feafdd1394,True,Neiman Marcus
26,Neiman Marcus,US retailer,1100000,2014,2014-01-01,Malware in the firm's IT system leaked customer payment data for several months.,retail,hacked,,2.0,,NY Times,http://www.nytimes.com/2014/01/24/business/neiman-marcus-breach-affected-1-1-million-cards.html,http://krebsonsecurity.com/2014/08/stealthy-razor-thin-atm-insert-skimmers/,175,neiman marcus,1597388,neiman marcus,neimanmarcus.com,1907.0,retail,5001 - 10000,"dallas, texas, united states",united states,linkedin.com/company/neiman-marcus,4651,15081,2014-01-24,New York Post,Neiman Marcus data breach affects up to 1.1M customer cards,http://nypost.com/2014/01/24/neiman-marcus-data-breach-affects-up-to-1-1m-customer-cards/,Yes,Neiman Marcus
27,Neiman Marcus,US retailer,1100000,2014,2014-01-01,Malware in the firm's IT system leaked customer payment data for several months.,retail,hacked,,2.0,,NY Times,http://www.nytimes.com/2014/01/24/business/neiman-marcus-breach-affected-1-1-million-cards.html,http://krebsonsecurity.com/2014/08/stealthy-razor-thin-atm-insert-skimmers/,175,neiman marcus,1597388,neiman marcus,neimanmarcus.com,1907.0,retail,5001 - 10000,"dallas, texas, united states",united states,linkedin.com/company/neiman-marcus,4651,15081,2014-01-11,The Guardian,Neiman Marcus in cyber attack,http://www.theguardian.com/technology/2014/jan/11/neiman-marcus-cyber-security-breach,True,Neiman Marcus
