Unnamed: 0,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate,Date,Publication,Headline,URL,BreachMentioned,CompanyMentioned
2695080,alibaba,,,internet,51 - 200,,,linkedin.com/company/alibaba,30,36,20210412,BBC,3 Alibaba accepts record fine and vows to change,https://www.bbc.com/news/business-56713508,True,Alibaba
2695080,alibaba,,,internet,51 - 200,,,linkedin.com/company/alibaba,30,36,20220609,CNBC,Alibaba shares drop 8% after Jack Ma's Ant Group and regulator squash talk of revived IPO,https://www.cnbc.com/2022/06/09/alibaba-shares-drop-after-jack-mas-ant-group-says-no-plan-for-ipo.html,True,Alibaba
2695080,alibaba,,,internet,51 - 200,,,linkedin.com/company/alibaba,30,36,20201224,CNBC,Alibaba shares fall after reports of anti-monopoly probe by China,https://www.cnbc.com/2020/12/24/alibabas-us-traded-shares-fall-amid-reports-of-probe-by-china.html,True,Alibaba
2695080,alibaba,,,internet,51 - 200,,,linkedin.com/company/alibaba,30,36,20140815,CNBC,Alibaba unit halts shares amid accounting probe,http://www.cnbc.com/id/101921759?trknav=homestack:mostpopular:19,True,Alibaba
2695080,alibaba,,,internet,51 - 200,,,linkedin.com/company/alibaba,30,36,20180919,CNBC,Asia markets set for cautious open as Alibaba pulls plans for 1 million jobs in the U.S.,https://www.cnbc.com/2018/09/20/asia-markets-us-china-trade-war-currencies-in-focus.html,True,Alibaba
2695080,alibaba,,,internet,51 - 200,,,linkedin.com/company/alibaba,30,36,20180922,CNBC,Chinese police arrest 21 over data theft at Alibaba's delivery arm,https://www.cnbc.com/2018/09/22/chinese-police-arrest-21-over-data-theft-at-alibabas-delivery-arm.html,True,Alibaba
2695080,alibaba,,,internet,51 - 200,,,linkedin.com/company/alibaba,30,36,20160126,CNBC,Data look dire on Alibaba revenue  growth,http://www.cnbc.com/2016/01/25/thomson-reuters-data-shows-alibaba-revenue-growth-to-be-slowest-on-record.html,True,Alibaba
2695080,alibaba,,,internet,51 - 200,,,linkedin.com/company/alibaba,30,36,20150612,USA Today,ShinalWow: Alibaba bonked by FOUR big brokerages,http://www.usatoday.com/story/tech/columnist/shinal/2015/06/12/alibaba-jack-ma/71099918/,True,Alibaba
2695080,alibaba,,,internet,51 - 200,,,linkedin.com/company/alibaba,30,36,20200703,CNBC,"Top Alibaba exec fired for helping girlfriend secure a job and accepting gifts, internal memo says",https://www.cnbc.com/2020/07/03/alibaba-exec-fired-for-helping-girlfriend-secure-job-accepting-gifts.html,True,Alibaba
1815564,amazon.com,amazon.es,,internet,11 - 50,,,linkedin.com/company/amazon-eu-sarl,11,20,20181103,CNBC,"Two dead in Amazon.com warehouse's partial collapse in Baltimore, MD governor says",https://www.cnbc.com/2018/11/03/reuters-america-two-dead-in-amazon-com-warehouses-partial-collapse-in-baltimore-governor.html,True,Amazon.com
6992888,amc,amc.com,,consumer services,1 - 10,"worcester, massachusetts, united states",united states,linkedin.com/company/amc-co,2,8,20200617,CNBC,"AMC facing creditor resistance on proposed debt swap, report says",https://www.cnbc.com/2020/06/17/amc-facing-creditor-resistance-on-proposed-debt-swap-report-says.html,True,AMC
6992888,amc,amc.com,,consumer services,1 - 10,"worcester, massachusetts, united states",united states,linkedin.com/company/amc-co,2,8,20220822,CNBC,"AMC shares fall 40% as Regal Cinemas owner warns of potential bankruptcy, APE units begin trading",https://www.cnbc.com/2022/08/22/amc-shares-tank-more-than-30percent-as-regal-cinemas-owner-warns-of-potential-bankruptcy.html,True,AMC
6992888,amc,amc.com,,consumer services,1 - 10,"worcester, massachusetts, united states",united states,linkedin.com/company/amc-co,2,8,20201020,CNBC,AMC warns bankruptcy is on the table as cash runs low,https://www.cnbc.com/2020/10/20/amc-warns-that-bankruptcy-is-on-the-table-as-cash-runs-low.html,True,AMC
6992888,amc,amc.com,,consumer services,1 - 10,"worcester, massachusetts, united states",united states,linkedin.com/company/amc-co,2,8,20201013,CNBC,AMC warns it could run out of cash this year,https://www.cnbc.com/2020/10/13/amc-could-run-out-of-cash-by-then-end-of-2020-company-warns.html,True,AMC
5687000,artemis,,,information technology and services,1 - 10,"walnut creek, california, united states",united states,linkedin.com/company/artemis-llc,0,2,20180209,The Guardian,How hedge fund hit bullseye by betting on stock market collapse,https://www.theguardian.com/business/2018/feb/09/how-artemis-hit-bulls-eye-by-betting-on-stock-market-collapse,True,Artemis
3376765,avon,,2014.0,consumer goods,51 - 200,"milwaukee, wisconsin, united states",united states,linkedin.com/company/franleeavon,34,52,20120214,CNBC,Avon Sales Slide as Sales Reps Drop Out Amid Probe,http://www.cnbc.com/id/46380824,True,Avon
3376765,avon,,2014.0,consumer goods,51 - 200,"milwaukee, wisconsin, united states",united states,linkedin.com/company/franleeavon,34,52,20140502,New York Post,Avon stock tanks after $135M settlement saps Q1 results,http://nypost.com/2014/05/02/avon-stock-tanks-after-135m-settlement-saps-q1-results/,True,Avon
4783963,bankia,,2011.0,banking,1001 - 5000,"madrid, madrid, spain",spain,linkedin.com/company/bankia,1393,2831,20120525,CNBC,Bankia Asks Spain for $24 Billion Bailout,http://www.cnbc.com/id/47569782,True,Bankia
