Date,Publication,Headline,URL,BreachMentioned,CompanyMentioned,Unnamed: 0,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
20200128.0,USA Today,3M cuts hundreds of jobs as it streamlines,https://www.usatoday.com/story/money/2020/01/28/3-m-layoffs-company-cut-roughly-1-500-positions-streamlines/4595803002/,True,3M,5146352,3m health care,3m.com,1902.0,mechanical or industrial engineering,10001+,"saint paul, minnesota, united states",united states,linkedin.com/company/3m,30937,69130
20200229.0,CNBC,3M ramps up N95 respirator production as demand surges from global coronavirus outbreak,https://www.cnbc.com/2020/02/28/3m-ramps-up-n95-respirator-production-amid-global-coronavirus-outbreak.html,True,3M,5146352,3m health care,3m.com,1902.0,mechanical or industrial engineering,10001+,"saint paul, minnesota, united states",united states,linkedin.com/company/3m,30937,69130
20081208.0,CNBC,"3M Slashes 2009 Guidance, Will Cut 1,800 Jobs",http://www.cnbc.com/id/28109744,True,3M,5146352,3m health care,3m.com,1902.0,mechanical or industrial engineering,10001+,"saint paul, minnesota, united states",united states,linkedin.com/company/3m,30937,69130
20160829.0,Washington Post,Russian hackers breached system used by election officials in Arizona,https://www.washingtonpost.com/world/national-security/fbi-is-investigating-foreign-hacks-of-state-election-systems/2016/08/29/6e758ff4-6e00-11e6-8365-b19e428a975e_story.html,True,Arizona,3360254,arizona state university,asu.edu,1885.0,higher education,10001+,"tempe, arizona, united states",united states,linkedin.com/company/arizona-state-university,12088,36532
20200619.0,Daily Mail,"Three Arizona casinos shut down just weeks after reopening as daily COVID-19 cases surge to more than 3,000 and hospitalizations also reach record highs",https://www.dailymail.co.uk/news/article-8441409/Arizonas-COVID-cases-surge-casinos-shut-weeks-reopening.html,True,Arizona,3360254,arizona state university,asu.edu,1885.0,higher education,10001+,"tempe, arizona, united states",united states,linkedin.com/company/arizona-state-university,12088,36532
20080124.0,New York Times,Fraud Costs Bank $7.1 Billion,http://www.nytimes.com/2008/01/25/business/worldbusiness/25bank-web.html?hp,True,Bank,5372097,bank of america,bankofamerica.com,1968.0,banking,10001+,"charlotte, north carolina, united states",united states,linkedin.com/company/bank-of-america,97357,279769
20220929.0,New York Post,Entrepreneur squeezed by Lebanon's economic collapse threatens to burn down bank — to get his own money out,https://nypost.com/2022/09/29/entrepreneur-hailed-as-a-hero-after-threatening-to-burn-down-bank-to-get-his-own-money/,True,Bank,5372097,bank of america,bankofamerica.com,1968.0,banking,10001+,"charlotte, north carolina, united states",united states,linkedin.com/company/bank-of-america,97357,279769
20131118.0,CNBC,Bank ex-chairman on crack and meth after debt disaster,http://www.cnbc.com/id/101205652,True,Bank,5372097,bank of america,bankofamerica.com,1968.0,banking,10001+,"charlotte, north carolina, united states",united states,linkedin.com/company/bank-of-america,97357,279769
20080127.0,CNBC,Bank Hit by Rogue Trader Opens Its Own Inquiry,http://www.cnbc.com/id/22890110,True,Bank,5372097,bank of america,bankofamerica.com,1968.0,banking,10001+,"charlotte, north carolina, united states",united states,linkedin.com/company/bank-of-america,97357,279769
20140629.0,CNBC,BNP board approves record $8.9B settlement Financial Times,http://www.cnbc.com/id/101798442?trknav=homestack:topnews:3,True,BNP,1279232,bnp paribas,bnpparibas.com,1848.0,banking,10001+,"paris, île-de-france, france",france,linkedin.com/company/bnp-paribas,37835,101571
