Date,Publication,Headline,URL,BreachMentioned,CompanyMentioned
20180914,BBC,4 British Steel to cut 400 jobs worldwide,http://www.bbc.com/news/uk-england-45518792,True,4 British Steel
20190805,The Guardian,8chan  Future of far-right website in doubt as key protections axed,https://www.theguardian.com/technology/2019/aug/04/8chan-cloudflare-terminate-contract-el-paso-white-nationalist-manifesto,True,8chan
20210115,The Guardian,8kun  Far-right website again loses internet service protection following Capitol attack,https://www.theguardian.com/technology/2021/jan/15/8kun-8chan-capitol-breach-violence-isp,True,8kun
20080407,New York Times,"A.M.D., Citing a Slowdown, to Cut 1,650 Jobs",http://www.nytimes.com/2008/04/08/technology/08amd.html,True,A.M.D.
20070706,CNN,Threats to bank signed A.Q.U.S.A,http://money.cnn.com/2007/07/06/news/companies/goldman/index.htm?cnn=yes,True,A.Q.U.S.A
20200904,Washington Post,Learning app ABCmouse pays $10 million to settle FTC complaint it trapped parents in subscription they couldn’t cancel,https://www.washingtonpost.com/business/2020/09/04/abcmouse-10-million-ftc-settlement/,True,ABCmouse
20110511,BBC,ACS:Law fined over data breach,http://www.bbc.co.uk/news/technology-13358896,Yes,ACS:Law
20120823,USA Today,FTC: Ab Circle Pro makers aired deceptive ads,http://www.usatoday.com/money/industries/health/story/2012-08-23/ftc-crackdown-ab-circlepro/57242504/1,True,Ab Circle Pro
20200403,Daily Mail,"Only 5,500 of Abbott's five-minute coronavirus tests - which were lauded by Trump - have been sent to 18 states after the company promised to send 50,000 kits to all 50 states",https://www.dailymail.co.uk/news/article-8185193/Abbott-Labs-promised-speedy-coronavirus-testing-5-500-kits.html,True,Abbott Labs
20220608,Daily Mail,Abbott Labs whistleblower warned FDA about issues at Michigan baby formula plant a YEAR before contamination triggered a shutdown that caused national shortage lasting months,https://www.dailymail.co.uk/news/article-10898051/Whistleblower-warned-FDA-Abbott-baby-formula-plant-year-shutdown.html,True,Abbott Labs
20130525,Daily Mail,Abercrombie and Fitch's stock price plummets after CEO said their clothes were only for 'attractive' people,http://www.dailymail.co.uk/news/article-2330719/Abercrombie-Fitchs-stock-prices-tank-amidst-CEOs-pin-headed-plus-sized-PR-faux-pas.html,True,Abercrombie and Fitch
20161114,Washington Post,"Adult FriendFinder hit with one of the biggest data breaches ever, report says",https://www.washingtonpost.com/news/the-switch/wp/2016/11/14/adult-friendfinder-hit-with-one-of-the-biggest-data-breaches-ever-report-says/,True,Adult FriendFinder
20180324,The Guardian,AIQ Canadian data firm’s links to Cambridge Analytica,https://www.theguardian.com/uk-news/2018/mar/24/aggregateiq-data-firm-link-raises-leave-group-questions,True,AggregateIQ
20180331,The Guardian,AggregateIQ  Obscure Canadian tech firm is part of Cambridge Analytica Brexit data riddle,https://www.theguardian.com/uk-news/2018/mar/31/aggregateiq-canadian-tech-brexit-data-riddle-cambridge-analytica,True,AggregateIQ
20090808,New York Times,Airspeed Systems Failed on U.S. Jets,http://www.nytimes.com/aponline/2009/08/07/us/AP-US-Planes-Speed-Malfunction.html?hp,True,Airspeed Systems
20110204,New York Post,Al-Jazeera's offices torched amid Egypt unrest,http://www.nypost.com/p/news/international/al_jazeera_offices_torched_amid_VR8k8BtXlX0K0cSAbTfsfO,True,Al-Jazeera
20120910,BBC,Al-Jazeera mobile service hacked,http://www.bbc.com/news/technology-19544290,True,Al-Jazeera
20160618,FOX,Two Al-Jazeera employees sentenced to death in Egypt; Morsi gets 40 years,http://www.foxnews.com/world/2016/06/18/court-in-egypt-sentences-2-al-jazeera-employees-to-death-former-president-mohammed-morsi-to-40-years-in-prison.html?intcmp=latestnews,True,Al-Jazeera
20221223,New York Times,"Alameda Executive Says She Is ‘Truly Sorry’ for Her Role in FTX CollapseCaroline Ellison of Alameda, a trading firm tied closely to FTX, admitted she participated in defrauding customers and misleading investors.",https://www.nytimes.com/2022/12/23/business/caroline-ellison-ftx-alameda-research.html,True,Alameda Research
20170119,FOX,Alanis lost millions,http://www.foxnews.com/entertainment/2017/01/18/business-manager-for-alanis-morissette-other-celebrities-admits-to-stealing-more-than-6-5m-from-his-clients.html,True,Alanis Morissette
20180812,CNBC,Alaska Air employee who stole plane that crashed exposes aviation security blind spots,https://www.cnbc.com/2018/08/11/stolen-alaska-air-plane-exposes-aviations-blind-spots.html,True,Alaska Air
20161202,CNBC,"Allegheny Technologies falls after dividend cut, poor 2016 results",http://www.cnbc.com/2016/12/02/allegheny-technologies-falls-more-than-10-percent-after-dividend-cut.html,True,Allegheny Technologies
20220913,Daily Mail,Allegiant Airlines is blasted for losing passenger's waterproof prosthetic leg for TWELVE DAYS - leaving woman unable to shower or swim while on California vacation,https://www.dailymail.co.uk/news/article-11206773/Airline-blasted-losing-travelers-prosthetic-limb-twelve-days-ruining-vacation.html,True,Allegiant Airlines
20080928,Washington Post,Allied Capital Portfolio Co. Files for Bankruptcy,http://www.washingtonpost.com/wp-dyn/content/article/2008/09/30/AR2008093002867.html?hpid=sec-business,True,Allied Capital Portfolio Co.
20120711,USA Today,Allmendinger camp: Stimulant caused positive test,http://www.usatoday.com/sports/motor/nascar/story/2012-07-11/AJ-Allmendinger-tested-positive-for-stimulant/56150954/1,True,Allmendinger
20190310,USA Today,Allthemoms Slave auction of black students investigated,https://www.usatoday.com/story/life/allthemoms/2019/03/10/slave-auction-black-students-probed-new-york-attorney-general/3125604002/,True,Allthemoms
20120514,CNBC,Ally's Mortgage Unit Rescap Files for Bankruptcy,http://www.cnbc.com/id/47411694,True,Ally's Mortgage Unit
20180804,Washington Post,"Somebody added cow’s milk to Almond Breeze, FDA says, sparking a recall in 28 states",https://www.washingtonpost.com/news/to-your-health/wp/2018/08/04/somebody-added-cows-milk-to-almond-breeze-fda-says-sparking-a-recall-in-28-states/,True,Almond Breeze
20180731,The Guardian,Outrage after Chicago company tells Hawaiians to stop using 'Aloha' in business names,https://www.theguardian.com/us-news/2018/jul/31/aloha-poke-co-cease-and-desist-letter-hawaiians-aloha,True,Aloha Poke Co.
20150116,BBC,Alpari UK closes over currency crisis,http://www.bbc.com/news/business-30846543,True,Alpari UK
20190223,Daily Mail,Three dead after a Boeing 767 Atlas Air cargo jet operating for Amazon Prime Air plunges into a bay on landing approach to Houston,https://www.dailymail.co.uk/news/article-6737937/Atlas-Air-cargo-jet-operating-Amazon-Prime-Air-reportedly-crashed-approach-Houston-Texas.html,True,Amazon Prime Air
20200109,BBC,Amazon Ring workers fired for accessing user video,https://www.bbc.com/news/technology-51048406,True,Amazon Ring
20190305,The Guardian,Revealed How AmazonSmile helps fund anti-vaccine groups,https://www.theguardian.com/us-news/2019/mar/05/revealed-amazonsmile-helps-fund-anti-vaccine-groups,True,AmazonSmile
20081102,CNBC,Moody's cuts Ambac Financial debt rating to junk,http://www.cnbc.com/id/27562145,True,Ambac Financial
20191007,CNBC,Trump's updated China blacklist slams shares of chipmaker Ambarella,https://www.cnbc.com/2019/10/07/ambarella-falls-as-commerce-department-adds-hikvision-to-entity-list.html,True,Ambarella
20130518,Daily Mail,Jewellery heist rocks Cannes: Thieves steal $1.5million of gems designed for stars to wear on red carpet as American Chopard employee is questioned by police,http://www.dailymail.co.uk/news/article-2326124/Cannes-Film-Festival-2013-jewellery-heist-thieves-steal-1million-gems.html,True,American Chopard
20130517,Daily Mail,Jewellery heist rocks Cannes: American Chopard employee quizzed by police after up to $1.5m of gems 'designed for red carpet' are stolen from her hotel room,http://www.dailymail.co.uk/news/article-2326124/Jewellery-heist-rocks-Cannes-Thieves-steal-1million-gems-designed-stars-wear-red-carpet.html,True,American Chopard
20160824,FOX,"At least 1 dead, 25 wounded in militant attack on American University of Afghanistan",http://www.foxnews.com/world/2016/08/24/at-least-1-dead-25-wounded-in-militant-attack-on-american-university-afghanistan.html?intcmp=latestnews,True,American University of Afghanistan
20160825,FOX,"At least 13 killed, 36 wounded in attack on American University of Afghanistan",http://www.foxnews.com/world/2016/08/25/at-least-12-killed-36-wounded-in-attack-on-american-university-in-afghanistan.html?intcmp=latestnews,True,American University of Afghanistan
20190421,New York Post,"Ancestry.com apologizes, pulls slavery-era ad after backlash",https://nypost.com/2019/04/20/ancestry-com-apologizes-pulls-slavery-era-ad-after-backlash/,True,Ancestry.com
20160326,Daily Mail,Man became suspect in murder and rape case after DNA his father donated to Mormon genetic research was sold to Ancestry.com and then tested by police,http://www.dailymail.co.uk/news/article-3510568/Law-enforcement-investigators-seek-private-DNA-databases.html,True,Ancestry.com
20140618,Daily Mail,Ancestry.com and sister site findagrave hit by hackers as both go offline for two days,http://www.dailymail.co.uk/sciencetech/article-2661791/ancestry-com-hit-hackers-site-goes-offline-two-days.html,True,Ancestry.com
20141028,The Guardian,Antares rocket explodes at Nasa base,http://www.theguardian.com/science/2014/oct/28/antares-rocket-explodes-nasa-launch-pad-orbital-science,True,Antares rocket
20100429,FOX,Anthem Blue Cross Withdraws Big Calif. Rate Hike,http://www.foxnews.com/us/2010/04/29/anthem-blue-cross-withdraws-big-california-rate-hike/?test=latestnews,True,Anthem Blue Cross
20100429,FOX,Anthem Blue Cross Withdraws Big California Rate,http://www.foxnews.com/us/2010/04/29/anthem-blue-cross-withdraws-big-california-rate-hike/,True,Anthem Blue Cross
20150205,USA Today,Anthem fined $1.7 million in 2010 breach6 hours              | Tech,http://www.usatoday.com/story/tech/2015/02/05/anthem-health-care-computer-security-breach-fine-17-million/22931345/,Yes,Anthem Health Care
20150205,The Guardian,Massive Anthem health insurance hack exposes millions of customers' details,http://www.theguardian.com/us-news/2015/feb/05/millions-of-customers-health-insurance-details-stolen-in-anthem-hack-attack,True,Anthem health insurance
