,year,corpName,breachType,numRecords,industry,numCustomers,numEmployees,recordType,sensitivity
971,2000,Amazon,Physical Breach,638679,Retail,,,,
1243,2000,Amazon,DDoS Attack,781080,Technology,,,,
1267,2000,Amazon,Insider Threat,508348,Technology,,,,
1426,2000,Amazon,Insider Threat,167006,Retail,,,,
1860,2000,Amazon,Ransomware,137079,Retail,,,,
2010,2000,Amazon,Phishing,186469,Technology,,,,
2053,2000,Amazon,DDoS Attack,856197,Retail,,,,
2121,2000,Amazon,Insider Threat,481747,Technology,,,,
2586,2000,Amazon,Insider Threat,311909,Technology,,,,
2871,2000,Amazon,Malware,212110,Retail,,,,
3108,2000,Amazon,Malware,581674,Technology,,,,
3142,2000,Amazon,Malware,985093,Technology,,,,
5861,2000,Amazon,Password Guessing,788437,Retail,,,,
6757,2000,Amazon,Ransomware,264703,Technology,,,,
6759,2000,Amazon,Password Guessing,688436,Retail,,,,
9114,2000,Amazon,Ransomware,443006,Technology,,,,
9525,2000,Amazon,Password Guessing,504713,Technology,,,,
10318,2000,Amazon,DDoS Attack,856911,Technology,,,,
2074,2001,Amazon,Insider Threat,818367,Technology,,,,
2463,2001,Amazon,Ransomware,402155,Technology,,,,
4191,2001,Amazon,Phishing,330101,Technology,,,,
4728,2001,Amazon,Ransomware,132829,Retail,,,,
5142,2001,Amazon,Password Guessing,777538,Retail,,,,
5776,2001,Amazon,Malware,862848,Retail,,,,
6025,2001,Amazon,Insider Threat,229096,Technology,,,,
6592,2001,Amazon,Physical Breach,84432,Technology,,,,
6600,2001,Amazon,Phishing,927637,Technology,,,,
8614,2001,Amazon,Phishing,470440,Technology,,,,
9878,2001,Amazon,Malware,602275,Technology,,,,
11233,2001,Amazon,Ransomware,475257,Government,,,,
11960,2001,Amazon,Phishing,947204,Healthcare,,,,
485,2002,Amazon,Insider Threat,932669,Technology,,,,
1590,2002,Amazon,DDoS Attack,397283,Technology,,,,
2436,2002,Amazon,DDoS Attack,268268,Technology,,,,
3092,2002,Amazon,Malware,105027,Technology,,,,
3835,2002,Amazon,Physical Breach,121401,Retail,,,,
5038,2002,Amazon,Password Guessing,59296,Retail,,,,
6689,2002,Amazon,Physical Breach,527743,Technology,,,,
6701,2002,Amazon,Physical Breach,90880,Retail,,,,
6864,2002,Amazon,DDoS Attack,164533,Technology,,,,
6946,2002,Amazon,Password Guessing,662869,Technology,,,,
7410,2002,Amazon,Insider Threat,441185,Retail,,,,
7984,2002,Amazon,Physical Breach,707048,Retail,,,,
8269,2002,Amazon,Physical Breach,139520,Technology,,,,
11432,2002,Amazon,Insider Threat,60072,Finance,,,,
11951,2002,Amazon,Ransomware,865313,Technology,,,,
1165,2003,Amazon,Malware,222569,Technology,,,,
1773,2003,Amazon,Insider Threat,725679,Technology,,,,
1859,2003,Amazon,Physical Breach,496858,Technology,,,,
3323,2003,Amazon,Malware,22414,Retail,,,,
3668,2003,Amazon,Malware,490434,Retail,,,,
5174,2003,Amazon,Insider Threat,724154,Technology,,,,
5643,2003,Amazon,Insider Threat,232107,Retail,,,,
5943,2003,Amazon,Physical Breach,361840,Retail,,,,
5987,2003,Amazon,DDoS Attack,64865,Retail,,,,
6194,2003,Amazon,Insider Threat,113216,Technology,,,,
7239,2003,Amazon,Malware,777758,Retail,,,,
7297,2003,Amazon,Ransomware,358285,Retail,,,,
7359,2003,Amazon,Phishing,180322,Retail,,,,
8343,2003,Amazon,Password Guessing,536527,Technology,,,,
8850,2003,Amazon,Password Guessing,729116,Technology,,,,
9296,2003,Amazon,DDoS Attack,67133,Technology,,,,
9299,2003,Amazon,Phishing,210300,Technology,,,,
10583,2003,Amazon,Insider Threat,556070,Government,,,,
11825,2003,Amazon,Ransomware,332833,Retail,,,,
1058,2004,Amazon,DDoS Attack,90041,Retail,,,,
1591,2004,Amazon,Phishing,647839,Retail,,,,
2089,2004,Amazon,Ransomware,293582,Technology,,,,
2833,2004,Amazon,Password Guessing,503328,Technology,,,,
3166,2004,Amazon,Ransomware,215442,Technology,,,,
3209,2004,Amazon,Physical Breach,613923,Technology,,,,
4224,2004,Amazon,Ransomware,651429,Retail,,,,
4229,2004,Amazon,Malware,639320,Technology,,,,
4360,2004,Amazon,Ransomware,555010,Retail,,,,
4601,2004,Amazon,Password Guessing,492007,Retail,,,,
7515,2004,Amazon,Password Guessing,294758,Retail,,,,
8445,2004,Amazon,Malware,708335,Technology,,,,
9105,2004,Amazon,Password Guessing,274133,Technology,,,,
9122,2004,Amazon,Physical Breach,493419,Technology,,,,
9139,2004,Amazon,Password Guessing,290712,Technology,,,,
9216,2004,Amazon,DDoS Attack,702959,Technology,,,,
9260,2004,Amazon,Password Guessing,102984,Technology,,,,
9344,2004,Amazon,DDoS Attack,245360,Technology,,,,
9579,2004,Amazon,Password Guessing,304119,Technology,,,,
9827,2004,Amazon,Insider Threat,564953,Technology,,,,
10369,2004,Amazon,Physical Breach,963571,Government,,,,
11649,2004,Amazon,Ransomware,695957,Technology,,,,
416,2005,Amazon,Password Guessing,516138,Technology,,,,
1136,2005,Amazon,Insider Threat,716485,Retail,,,,
1327,2005,Amazon,Password Guessing,974944,Technology,,,,
1847,2005,Amazon,Malware,424259,Technology,,,,
1947,2005,Amazon,Ransomware,641216,Technology,,,,
2008,2005,Amazon,Ransomware,190838,Technology,,,,
2343,2005,Amazon,Password Guessing,630236,Retail,,,,
2569,2005,Amazon,DDoS Attack,223173,Technology,,,,
2851,2005,Amazon,Insider Threat,441661,Retail,,,,
4527,2005,Amazon,Phishing,739082,Technology,,,,
4656,2005,Amazon,Password Guessing,203423,Technology,,,,
4845,2005,Amazon,Physical Breach,602224,Retail,,,,
6370,2005,Amazon,Ransomware,575317,Retail,,,,
7272,2005,Amazon,Ransomware,67895,Technology,,,,
9150,2005,Amazon,Malware,819501,Technology,,,,
9424,2005,Amazon,Physical Breach,507873,Technology,,,,
10490,2005,Amazon,Ransomware,965218,Technology,,,,
11342,2005,Amazon,DDoS Attack,400870,Government,,,,
11751,2005,Amazon,Malware,52168,Finance,,,,
12162,2005,Amazon,Password Guessing,125987,Healthcare,,,,
299,2006,Amazon,Password Guessing,37374,Retail,,,,
2486,2006,Amazon,Insider Threat,62643,Retail,,,,
3259,2006,Amazon,Password Guessing,710778,Technology,,,,
4748,2006,Amazon,DDoS Attack,929330,Technology,,,,
5051,2006,Amazon,Insider Threat,301700,Retail,,,,
5183,2006,Amazon,Phishing,431372,Technology,,,,
6063,2006,Amazon,Ransomware,95400,Retail,,,,
6078,2006,Amazon,DDoS Attack,551387,Technology,,,,
7366,2006,Amazon,Password Guessing,354734,Retail,,,,
7421,2006,Amazon,Physical Breach,30965,Technology,,,,
8082,2006,Amazon,Password Guessing,616817,Technology,,,,
11865,2006,Amazon,Phishing,329635,Healthcare,,,,
12054,2006,Amazon,Ransomware,991387,Government,,,,
853,2007,Amazon,DDoS Attack,274132,Retail,,,,
984,2007,Amazon,Password Guessing,802313,Technology,,,,
1952,2007,Amazon,DDoS Attack,183657,Technology,,,,
2125,2007,Amazon,Ransomware,348110,Retail,,,,
3278,2007,Amazon,Physical Breach,391607,Retail,,,,
3372,2007,Amazon,Ransomware,219824,Technology,,,,
3830,2007,Amazon,Ransomware,800535,Technology,,,,
4543,2007,Amazon,Insider Threat,463433,Retail,,,,
