Date,Publication,Headline,URL,BreachMentioned,CompanyMentioned
20150522,USA Today,Target breach settlement with MasterCard falls through,http://www.usatoday.com/story/tech/2015/05/22/target-breach-mastercard-visa/27782665/,Yes,"Target, MasterCard, Visa"
20100108,New York Times,Man Is Charged in Breach of Newark Airport Security,http://www.nytimes.com/2010/01/09/nyregion/09newark.html?hp,Yes,Newark Airport
20111220,BBC,Lady Gaga fans hit by hack attack,http://www.bbc.co.uk/news/technology-16265936,Yes,Lady Gaga
20111221,Daily Mail,Chinese hackers 'hit U.S. Chamber of Commerce',http://www.dailymail.co.uk/news/article-2077051/Chinese-hackers-hit-U-S-Chamber-Commerce-infiltrating-300-internet-addresses.html,Yes,Chinese hackers
20070306,CNBC,Intel May Have Lost Emails for AMD Lawsuit,http://www.cnbc.com/id/17472365,Yes,"Intel, AMD"
20120116,USA Today,Zappos alerts customers to breached accounts,http://www.usatoday.com/tech/news/story/2012-01-16/mark-smith-zappos-breach-tips/52593484/1,Yes,Zappos
20120118,USA Today,"Zappos, Amazon sued over customer data breach",http://www.usatoday.com/tech/news/story/2012-01-18/zappos-data-breach-sued/52641550/1,Yes,"Zappos, Amazon"
20120123,CNBC,Macy's Sues Martha Stewart for Breach of Contract,http://www.cnbc.com/id/46106373,Yes,"Macy's, Martha Stewart"
20131231,BBC,Hackers hit League of Legends game,http://www.bbc.com/news/technology-25559048,Yes,League of Legends
20131231,BBC,4: Hackers hit League of Legends game,http://www.bbc.co.uk/news/technology-25559048,Yes,League of Legends
20151022,CNBC,RushCard flub affects thousands of debit card  users,http://www.cnbc.com/2015/10/21/rushcard-breakdown-affects-thousands-of-prepaid-debit-card-users.html,Yes,RushCard
20151120,Washington Post,Starwood Hotels warns of credit card breaches at more than 50 locations,https://www.washingtonpost.com/news/the-switch/wp/2015/11/20/starwood-hotels-warns-of-credit-card-breaches-at-more-than-50-locations/,Yes,Starwood Hotels
20171028,Daily Mail,"Alleged hacker 'used army of 9,000 'zombie' computers to attack websites such as Skype, Google and Pokemon'",http://www.dailymail.co.uk/news/article-5026697/Liverpool-man-21-charged-hacking-Skype-Google.html,Yes,"Skype, Google"
20151221,Daily Mail,Parents warned as Hello Kitty database leak exposes the details of 3.3million users,http://www.dailymail.co.uk/news/article-3369341/Database-leak-exposes-3-3-mln-Hello-Kitty-fans-security-website.html,Yes,Hello Kitty
20140323,Daily Mail,Thousands of credit card details at risk as California DMV says it could have been hacked,http://www.dailymail.co.uk/news/article-2587494/Department-Motor-Vehicles-California-investigating-possible-credit-card-breach.html,Yes,California DMV
20140323,CNBC,California DMV probing possible credit card breach,http://www.cnbc.com/id/101516895,Yes,California DMV
20120713,CNBC,"Visa, MasterCard Agree to $6 Billion Settlement",http://www.cnbc.com/id/48179719,Yes,"Visa, MasterCard"
