Date,Publication,Headline,URL
20090305,New York Times,Cooking With Dexter: Beating Eggs,http://www.nytimes.com/2009/03/08/magazine/08food-t-000.html
20091123,New York Post,Candy showdown isn't sweet,http://www.nypost.com/p/pagesix/candy_showdown_isn_sweet_zMH17WuzTXNoYfrGbaU4vM
20120816,BBC,Wiggins takes time off to miss Tour of Denmark,http://www.bbc.co.uk/sport/0/cycling/19287670
20130315,New York Post,‘Jeopardy’ looking at Lauer as next host,http://www.nypost.com/p/entertainment/tv/jeopardy_looking_at_lauer_as_next_XuTx94RwSSe3I4tM74WMtO
20130413,New York Post,‘Kinky’ Keith,http://www.nypost.com/p/pagesix/kinky_keith_RUlfNyMsx1ieb3hU0gDj9K
20100105,The Guardian,Clinton & Obama,http://www.theguardian.com/world/2013/jul/29/hillary-clinton-obama-lunch-2016
20091215,CNBC,Citi Prices Stock Offer to Repay TARP at $3.15/Share,http://www.cnbc.com/id/34435773
20140909,CNN,Caged woman,http://www.cnn.com/2014/09/08/justice/mobile-home-captive-freed/index.html?hpt=hp_inthenews
20090202,FOX,Salazar Ditches Sale of Oil-And-Gas Leases in Utah,http://www.foxnews.com/politics/2009/02/04/salazar-ditches-sale-oil-gas-leases-utah/
20131027,BBC,"4: Get outside and go wild, kids urged",http://www.bbc.co.uk/news/education-24670232
20121205,The Guardian,Passport photos,http://www.theguardian.com/lifeandstyle/gallery/2013/jul/29/passport-photographs-celebrities-in-pictures
20110418,Washington Post,Iowa’s power,http://www.washingtonpost.com/opinions/iowa-begins-to-take-stock-of-the-gop-field/2011/04/18/AFmzej0D_story.html
20130712,USA Today,Confessed Boston Strangler’s corpse unearthed,http://www.usatoday.com/story/news/nation/2013/07/12/boston-strangler-remains-desalvo/2513931/
20141113,CNN,Could battle over immigration lead to a shutdown?,http://www.cnn.com/2014/11/13/politics/republicans-immigration-shutdown/index.html?hpt=hp_t1
20150321,Daily Mail,Man cleared of murder after 39 YEARS in jail gets just $2M payment - despite being longest-serving wrongfully convicted prisoner,http://www.dailymail.co.uk/news/article-3005581/Ricky-Jackson-receives-2million-compensation-wrongfully-imprisoned-39-years.html
20160118,BBC,Elon Musk: Bonkers but brilliant  By Rory Cellan-Jones,http://www.bbc.com/news/technology-35285321
20120525,USA Today,"Opposing view: Thoughts, not deed, punished",http://www.usatoday.com/news/opinion/story/2012-05-24/rutgers-webcam-case-prank/55195230/1
20120805,CNN,Privacy concern in the drone age,http://www.cnn.com/video/?hpt=hp_t3#/video/us/2012/08/05/thedrone-age2.cnn
20110507,Daily Mail,"My, what large teeth you have! Tiger's underwater pounce on her lunch at Six Flags",http://www.dailymail.co.uk/news/article-1384616/My-large-teeth-Akasha-swimming-tiger-enjoys-underwater-lunch-Six-Flags-Discovery-Kingdom.html
20080519,Washington Post,FDA Stresses Birth Defects With Two Drugs,http://www.washingtonpost.com/wp-dyn/content/article/2008/05/16/AR2008051602073.html?hpid=sec-health
20070324,New York Times,"Theater Review: Stagestruck Sleuth, Crazy for Clues and Cues",http://theater2.nytimes.com/2007/03/23/theater/reviews/23curt.html
20150525,New York Post,Inside the bizarre life of an Upper East Side housewife,http://nypost.com/2015/05/24/inside-the-bizarre-life-of-an-upper-east-side-housewife/
