Date,Publication,Headline,URL
20141002,The Guardian,Winner of the Pulitzer prize for public service,http://www.theguardian.com/media/2014/apr/14/guardian-washington-post-pulitzer-nsa-revelations
20150410,New York Post,"Nerds, rejoice! First Yellowjacket and Joker pics hit the web",http://nypost.com/2015/04/10/nerds-rejoice-first-yellowjacket-and-joker-pics-hit-the-web/
20150913,BBC,Science & Environment,http://www.bbc.com/news/science_and_environment
20070507,Washington Post,Cheney Embarks on Middle East Mission,http://www.washingtonpost.com/wp-dyn/content/article/2007/05/08/AR2007050800131.html?hpid=topnews
20110413,CNBC,"Video: Keystone Kriminals, Tarmac CollisionÂ?",http://www.cnbc.com/id/15840232?video=3000016263&play=1
20120107,The Guardian,How the Middle East and US have reacted to Egypt,http://www.theguardian.com/world/2013/jul/29/egypt-morsi-middle-east-response
20130417,New York Times,Obama Angrily Denounces a ‘Shameful Day’,http://www.nytimes.com/2013/04/18/us/politics/senate-obama-gun-control.html?hp
20130425,Washington Post,Bush: The best president ever!,http://www.washingtonpost.com/blogs/compost/wp/2013/04/25/george-w-bush-was-the-greatest-president-of-all-time-ever/
20080927,Washington Post,The Sweet Rewards of Ramadan's End,http://www.washingtonpost.com/wp-dyn/content/article/2008/09/23/AR2008092300308.html?hpid=sec-religion
20100921,CNBC,Symbol Lookup,http://www.cnbc.com/id/15837272
20150115,CNN,Maroon 5 crash weddings for video,http://www.cnn.com/2015/01/15/entertainment/feat-maroon-5-sugar-video/index.html
20100211,Daily Mail,Kim Kardashian narrowly avoids disaster as her gravity defying dress slips down She nearly displayed her generous curves to the world,http://www.dailymail.co.uk/tvshowbiz/article-1308471/Kim-Kardashian-narrowly-avoids-disaster-gravity-defying-dress-slips-down.html
20160303,FOX,"Woman, 91, choked and robbed at gunpoint",http://www.foxnews.com/us/2016/03/03/nyc-woman-91-choked-and-robbed-at-gunpoint.html?intcmp=latestnews
20151112,Daily Mail,comments,http://www.dailymail.co.uk/femail/article-3315754/Canadian-grandmother-joins-son-s-grindcore-band-spends-nights-belting-abrasive-tunes-Grindmother.html#comments
20100417,New York Post,Bus driver's fiery rescue,http://www.nypost.com/p/news/local/staten_island/bus_driver_fiery_rescue_kFYpliqQW6c0fdedbeGkCI
20080827,New York Times,"In a Father’s Clutter, Historic Oddities",http://www.nytimes.com/2008/08/21/garden/21lattimer.html
20130823,New York Post,Stars fall for fashion's coolest hue,http://www.nypost.com/p/entertainment/fashion/stars_fall_for_fashion_coolest_hue_p95WA0cW3Xb2EE8i5edy2M
20070413,The Guardian,Artisan food,http://www.theguardian.com/lifeandstyle/wordofmouth/2013/jul/29/artisan-food-urban-peasants-foodie-fad
20090602,Daily Mail,Prince Harry faces animal cruelty claim over polo pony's stab wound from his spur Animal welfare groups accuse Prince of being 'heartless',http://www.dailymail.co.uk/news/article-1308528/Prince-Harry-faces-animal-cruelty-claim-polo-ponys-stab-wound-spur.html
20160709,The Guardian,Do black people have second amendment rights?,https://www.theguardian.com/commentisfree/2016/jul/07/black-people-second-amendment-rights-philando-castile-alton-sterling-police-shootings
20120621,CNN,CDC bioterror germ lab leaks air,http://www.cnn.com/video/#/video/bestoftv/2012/06/21/pkg-brian-todd-cdc-germ-lab-leak.cnn?hpt=hp_bn4
20130316,Daily Mail,BP appeals over 'absurd' and 'fictitious' oil spill compensation payments including $10 million for a construction company 200 miles from the sea,http://www.dailymail.co.uk/news/article-2294414/BP-appeals-absurd-fictitious-oil-spill-compensation-payments-including-10-million-construction-company-200-miles-sea.html
20091214,New York Post,Trolley jolly,http://www.nypost.com/p/entertainment/trolley_jolly_bqPG73ZXr14yNgcfgqO9iI
20111018,CNBC,Stocks End Near Lows Amid Euro Zone Fears,http://www.cnbc.com/id/44929422
20150509,New York Times,ESPN Is Splitting With Bill SimmonsNYT Now,http://www.nytimes.com/2015/05/09/sports/bill-simmons-and-espn-are-parting-ways.html
20130928,Daily Mail,Still getting the royal treatment! Prince Jackson treats girlfriend Remi Alfalah to evening at upscale Beverly Hills restaurant At Hakkasan,http://www.dailymail.co.uk/tvshowbiz/article-2436611/Still-getting-royal-treatment-Prince-Jackson-treats-girlfriend-Remi-Alfalah-evening-upscale-Beverly-Hills-restaurant.html
20070805,New York Times,"With New Rules, Congress Boasts of Pet Projects",http://www.nytimes.com/2007/08/05/washington/05earmarks.html?hp
20131101,BBC,Elephant cull effects 'last decades',http://www.bbc.com/news/science-environment-24754682
20070729,CNN,Hillary's heckler,http://www.cnn.com/video/#/video/politics/2007/07/28/vo.hillary.protestor.cnn
20100606,BBC,More from BBC News,http://www.bbc.co.uk/news/
20091211,FOX,Movies,http://www.foxnews.com/entertainment/movies/
20150825,The Guardian,"World championships: four days in, where are the American medals?",http://www.theguardian.com/sport/blog/2015/aug/25/world-championships-athletics-track-american-medals
20070501,CNBC,"Blockbuster Season, Valenti, Baldwin & Newspapers",http://www.cnbc.com/id/18415697
20130505,Washington Post,Mark Sanford just might win S.C. seat,http://www.washingtonpost.com/politics/mark-sanford-might-actually-win-south-carolina-seat/2013/05/05/bfea35b6-b589-11e2-b94c-b684dda07add_story.html
20070701,Daily Mail,"Coming soon to your TV, Stig Gear",http://www.dailymail.co.uk/news/article-1308552/Ben-Collins-The-Stig-Top-Gear-driver-revealed-SAS-hero.html
20121205,CNBC,McAfee Emerges From Hiding in Guatemala,http://www.cnbc.com/id/100277917
20080430,Washington Post,Gallery,http://www.washingtonpost.com/wp-dyn/content/gallery/2008/04/29/GA2008042902641.html?hpid=topnews
20151008,New York Post,Victor Cruz ‘convinced’ he’ll return — and is circling a date,http://nypost.com/2015/10/08/victor-cruz-convinced-hell-return-and-is-circling-a-date/
20140304,New York Post,Kyle Smith,http://nypost.com/2014/03/04/grand-budapest-hotel-is-a-triumph-of-the-twee/
20130512,BBC,Racist chants halt Milan-Roma game,http://www.bbc.co.uk/sport/0/football/22505744
20120713,CNBC,Stock Is at All-Time High but Is Costco Broken?,http://www.cnbc.com/id/48173291
20110406,Daily Mail,'Stop the war on Libya... and good luck with election: Gaddafi letter to Obama,http://www.dailymail.co.uk/news/article-1374315/Gaddafis-letter-Barack-Obama-calls-end-unjust-war.html
20100602,New York Post,Biden says son ’doing great’ after mild stroke,http://www.nypost.com/p/news/national/biden_says_son_doing_great_after_pmmVNbLQQTZFJ9fb0YO2VL
20130711,New York Times,Television Review: Intrigue Behind Bars: More ‘Gossip Girl’ Than ‘Oz’,http://tv.nytimes.com/2013/07/11/arts/television/orange-is-the-new-black-a-nexflix-series.html?hpw
20141014,USA Today,"Study: Recent sea level rise is highest in 6,000 years1 hour, 1 minute              | Weather",http://www.usatoday.com/story/weather/2014/10/14/sea-level-rise-climate-change/17258055/
20081126,CNBC,"Oracle Targets May Be Challenged by Economy, Dollar",http://www.cnbc.com/id/27926865
20130810,CNN,Jennifer Aniston dishes on lap dance,http://www.cnn.com/video/data/2.0/video/showbiz/2013/08/09/conan-jennifer-aniston-lap-dance-scene.team-coco.html?hpt=hp_c4
20080922,New York Times,"Music: Reunited, Loud and Finding the Love",http://www.nytimes.com/2008/09/23/arts/music/23bloo.html
20141206,BBC,One-minute World News,http://www.bbc.com/news/10462520
20150210,The Guardian,Leaders locked in Minsk talks on Ukraine ceasefire,http://www.theguardian.com/world/2015/feb/10/minsk-summit-talks-ukraine-ceasefire
20130520,New York Post,Push comes to gov on full Shelly probe,http://www.nypost.com/p/news/local/push_comes_to_gov_on_full_shelly_fMJASh2xh3RKamNBeZtpjI
20150228,CNBC,News,http://www.cnbc.com/id/15837362
20130712,BBC,England thrive amid Broad drama,http://www.bbc.com/sport/cricket/23294650
20160709,The Guardian,'Politics are corrupt' Fears about money and its influence,https://www.theguardian.com/us-news/2016/jul/08/trump-clinton-sanders-super-pacs-election-money
20130115,CNN,Watch his vehement denial in 2005,http://www.cnn.com/video/?hpt=hp_t4#/video/us/2013/01/15/nr-world-according-to-lance-armstrong.cnn
20120426,The Guardian,Conservatives bashed me for speaking out about the Zimmerman verdict,http://www.theguardian.com/commentisfree/2013/jul/29/george-zimmerman-conservative-backlash
20141003,The Guardian,One of the most powerful and puzzling US artists of the 1980s finally receives a retrospective worthy of his intimate work,http://www.theguardian.com/artanddesign/2014/oct/03/robert-gober-moma-retrospective-review-sculpture-art
20140209,BBC,Swiss narrowly back migration curbs,http://www.bbc.com/news/world-europe-26108597
20080610,Daily Mail,How Demi keeps showing us Moore (...and Moore!) on Twitter  We take a look at the actress's cringeworthy postings online,http://www.dailymail.co.uk/tvshowbiz/article-1308576/How-Demi-keeps-showing-Moore---Moore-Moore-Moore.html
20130218,The Guardian,Ofgem predicts higher energy bills,http://www.guardian.co.uk/money/2013/feb/19/ofgem-higher-household-energy-bills
20101118,FOX,Gang Suspects Rounded Up in Huge Neb. Bust,http://www.foxnews.com/us/2010/11/18/feds-nab-drug-gang-suspects-nebraska/?test=latestnews
20110420,The Guardian,Status update with Rob Delaney,http://www.theguardian.com/culture/2013/jul/29/rob-delaney-status-update
20130526,New York Post,Bill Clinton’s guard robbed by kids,http://www.nypost.com/p/pagesix/bubba_guard_robbed_by_kids_KAguli2sMVs8l3FLsbArQK
20080728,CNBC,Bonds,http://www.cnbc.com/id/15839203/site/14081545/
20081105,Daily Mail,Write-off: Stolen car destroyed in high-speed car chase - and you should see the police car...,http://www.dailymail.co.uk/news/article-1308473/Peterborough-robbery-ends-car-smash.html
20091209,Daily Mail,"Woman, 23, suffers serious head injuries after stunt goes wrong on Transformers 3 set",http://www.dailymail.co.uk/news/worldnews/article-1308437/Woman-23-suffers-head-injuries-stunt-goes-wrong-Transformers-3.html
20141215,Washington Post,Mike Jones,http://www.washingtonpost.com/mike-jones/2011/02/24/ABm77hP_page.html
20100112,The Guardian,The Jungle Book,http://www.theguardian.com/film/2013/jul/29/how-we-made-jungle-book
20150330,The Guardian,Killing Jesus: Bill O'Reilly's film is touted as history. But facts aren't sacred to him,http://www.theguardian.com/commentisfree/2015/mar/29/killing-jesus-bill-oreillys-film-is-touted-as-history-but-facts-arent-sacred-to-him
20110621,CNBC,EARNINGS,http://www.cnbc.com/id/15839135
20140106,CNBC,ENTERPRISE,http://www.cnbc.com/id/101004656
20101003,CNBC,Sports Biz Blog,http://www.cnbc.com/id/15837629/
20110104,CNN,Joy Behar: Twins lose 270 pounds,http://www.cnn.com/video/#/video/showbiz/2011/01/03/behar.twins.weight.loss.hln?hpt=Mid
20131003,BBC,Russia evacuates embassy in Libya,http://www.bbc.com/news/world-africa-24386921
20110630,CNBC,U.S.,http://www.cnbc.com/id/15837362/site/14081545/
20110122,New York Times,Bank of America Shamed,http://www.nytimes.com/2011/01/22/business/economy/22nocera.html?hp
20141202,CNN,Rolling Stones saxophonist dies,http://www.cnn.com/2014/12/02/showbiz/obit-bobby-keys-rolling-stones/index.html?hpt=hp_t2
20120306,CNBC,Wires,http://www.cnbc.com/id/28140607
20121229,The Guardian,Gareth Bale will put pressure on Spurs to let him go to Real Madrid,http://www.theguardian.com/football/2013/jul/29/gareth-bale-tottenham-real-madrid-levy
20100601,Washington Post,D.C. teachers are likely to ratify contract,http://www.washingtonpost.com/wp-dyn/content/article/2010/05/31/AR2010053102175.html?hpid=sec-education
20111021,CNN,The joys of slowly savoring Paris,http://www.cnn.com/2011/10/19/travel/leisurely-paris/index.html
20110426,New York Times,Endeavour’s Final Act Stars Giffords and Obama,http://www.nytimes.com/2011/04/27/science/space/27shuttle.html?hp
20091001,Washington Post,Ky. Church Ordains Sex Offender as Minister,http://www.washingtonpost.com/wp-dyn/content/article/2009/09/30/AR2009093002006.html?hpid=sec-religion
20130507,CNBC,Video,http://www.cnbc.com/id/45108363/
20070615,Daily Mail,"Toddler, 2, kicks 40-a-day cigarette habit",http://www.dailymail.co.uk/news/worldnews/article-1308529/Toddler-2-kicks-40-day-cigarette-habit-month-long-spell-rehab.html
20120701,CNBC,The Buck Stops HereĀ?,http://www.cnbc.com/id/15840232?video=3000099897&play=1
20130422,The Guardian,Glenn Greenwald: Why is Boston 'terrorism'?,http://www.guardian.co.uk/commentisfree/2013/apr/22/boston-marathon-terrorism-aurora-sandy-hook
20121209,New York Post,‘Dance’ break,http://www.nypost.com/p/entertainment/tv/dance_break_KxsUETwv9vQwUEmpLsXFNN
20080525,Washington Post,Station Break,http://www.washingtonpost.com/wp-dyn/content/discussion/2008/05/22/DI2008052203544.html
20121022,Washington Post,Poll: Obama’s lead on foreign policy narrows,http://www.washingtonpost.com/blogs/the-fix/wp/2012/10/22/post-abc-tracking-poll-obama-49-percent-romney-48-percent/
20140407,New York Post,"After champs as freshman, Napier reaches zenith again as senior",http://nypost.com/2014/04/07/after-champs-as-freshman-napier-reaches-zenith-again-as-senior/
20120224,BBC,Business,http://www.bbc.com/news/business
20070303,Washington Post,Full Coverage: The Other Walter Reed,http://www.washingtonpost.com/wp-dyn/content/linkset/2007/02/21/LI2007022100671.html
20081215,The Guardian,New claims of Apple mistreatment,http://www.theguardian.com/technology/2013/jul/29/apple-investugates-claims-china-factory
20080908,New York Times,"For the Georgia Schools Chief, Geography and History Pay Off",http://www.nytimes.com/2008/09/09/education/09smart.html
20150222,New York Post,Cops say training after Eric Garner’s death is a ‘waste of time’,http://nypost.com/2015/02/22/cops-say-training-after-eric-garners-death-is-a-waste-of-time/
20090108,The Guardian,Glenn Greenwald,http://www.theguardian.com/commentisfree/2013/jul/29/poll-nsa-surveillance-privacy-pew
20151216,New York Times,Who Won the Debate?,http://www.nytimes.com/2015/12/17/us/politics/who-won-the-republican-debate-commentators-weigh-in.html
20101009,New York Post,Jets' Revis says he's ready to play,http://www.nypost.com/p/sports/jets/jets_revis_says_he_ready_to_play_pRF3DR48dEGVbq7PwCEmVL
20100329,CNBC,Progress is Good,http://www.cnbc.com/id/35237462/
20100624,New York Times,"On New iPhone, a Mystery of Dropped Calls",http://www.nytimes.com/2010/06/25/technology/25apple.html?hp
