industry,count_all_articles,percentage_all_articles,count_breach_articles,percentage_breach_articles,standard_error,z_score,p_value
internet,31519,21.402331787409437,3199.0,25.22870662460568,0.003642300306197326,10.505379885029567,0.0
consumer electronics,14275,9.693146554943674,926.0,7.302839116719243,0.0026274418796435775,-9.097470268490529,0.0
retail,9989,6.782825985102092,530.0,4.17981072555205,0.0022330254726629912,-11.65689908788107,0.0
marketing and advertising,9871,6.702700500444764,699.0,5.512618296529968,0.0022207507470419752,-5.35891839955464,8.372165605230464e-08
automotive,8117,5.511682703080758,465.0,3.6671924290220814,0.0020266163158207226,-9.101329440899669,0.0
financial services,5459,3.7068222096979,989.0,7.799684542586751,0.0016777954451602014,24.39428682855943,0.0
entertainment,4936,3.351689764987879,462.0,3.643533123028391,0.001598340899019979,1.8259143479307525,0.06786316461491015
computer software,4444,3.0176072357386823,319.0,2.5157728706624605,0.001519211281923001,-3.3032559134303265,0.0009556912794823624
information technology and services,3821,2.5945718379292315,424.0,3.3438485804416405,0.001411772776337981,5.307346586296765,1.1123255472256233e-07
restaurants,3589,2.437036986738553,178.0,1.4037854889589907,0.0013693482913033105,-7.545571162148529,4.5075054799781356e-14
airlines/aviation,3250,2.2068459757314844,226.0,1.782334384858044,0.001304609724485439,-3.253935509647341,0.001138181150862394
telecommunications,2707,1.838132940401578,196.0,1.5457413249211356,0.0011928895587924693,-2.4511205863552266,0.014241223516301416
oil & energy,2635,1.7892428141699883,277.0,2.184542586750789,0.0011772116294767206,3.3579329551519472,0.0007852765750777646
aviation & aerospace,2565,1.741710747000387,262.0,2.0662460567823344,0.0011617508215630331,2.793501874569917,0.005214072681093196
broadcast media,1941,1.317996319659942,71.0,0.5599369085173502,0.001012783113307389,-7.48491361261978,7.149836278586008e-14
online media,1790,1.2154628604798023,81.0,0.6388012618296529,0.0009730960382749605,-5.926050214657296,3.103077350630201e-09
sports,1754,1.1910177973640077,107.0,0.8438485804416405,0.0009633801901200772,-3.6036574187714576,0.00031377056493187006
pharmaceuticals,1706,1.1584243798762808,222.0,1.750788643533123,0.000950263498836978,6.233684282115786,4.555908983405743e-10
investment banking,1581,1.073545688501993,79.0,0.6230283911671924,0.0009151807172940036,-4.922714047853687,8.535212607796439e-07
food & beverages,1559,1.0586070388201183,57.0,0.4495268138801261,0.0009088595438789108,-6.701588040111301,2.0616619522684232e-11
apparel & fashion,1540,1.0457054777312265,48.0,0.3785488958990536,0.0009033631860741211,-7.385253153070515,1.5210055437364645e-13
banking,1251,0.849465943273873,198.0,1.561514195583596,0.0008150061540022594,8.736722401580161,0.0
electrical/electronic manufacturing,1191,0.8087241714142148,26.0,0.2050473186119874,0.000795384865852019,-7.58974527577372,3.197442310920451e-14
consumer goods,1020,0.692610121614189,72.0,0.5678233438485805,0.0007365047868893016,-1.694310478179747,0.09020630051573741
hospital & health care,1012,0.6871778853662346,142.0,1.1198738170347005,0.0007336309116945295,5.898005724282139,3.6792120461370814e-09
publishing,935,0.6348926114796732,21.0,0.1656151419558359,0.0007053545348778018,-6.653072268191154,2.8703706078658797e-11
sporting goods,897,0.6090894893018897,23.0,0.1813880126182965,0.0006909621539132695,-6.189940711821952,6.018685549946667e-10
insurance,868,0.589397632903055,83.0,0.6545741324921136,0.0006797683180695133,0.9588046082252624,0.33765718727984373
real estate,844,0.5731009241591917,39.0,0.3075709779179811,0.0006703596646732825,-3.9610072060439916,7.463428011766915e-05
media production,839,0.5697057765042202,41.0,0.3233438485804417,0.000668382463959127,-3.6859424238102694,0.00022785786527745877
biotechnology,712,0.4834690260679437,87.0,0.6861198738170347,0.0006159880902641043,3.289850095351757,0.0010024077016159705
