industry,count_all_articles,percentage_all_articles,count_breach_articles,percentage_breach_articles
internet,31519,21.402331787409437,3199.0,25.22870662460568
consumer electronics,14275,9.693146554943674,926.0,7.302839116719243
retail,9989,6.782825985102092,530.0,4.17981072555205
marketing and advertising,9871,6.702700500444764,699.0,5.512618296529968
automotive,8117,5.511682703080758,465.0,3.6671924290220814
financial services,5459,3.7068222096979,989.0,7.799684542586751
entertainment,4936,3.351689764987879,462.0,3.643533123028391
computer software,4444,3.0176072357386823,319.0,2.5157728706624605
information technology and services,3821,2.5945718379292315,424.0,3.3438485804416405
restaurants,3589,2.437036986738553,178.0,1.4037854889589907
airlines/aviation,3250,2.2068459757314844,226.0,1.782334384858044
telecommunications,2707,1.838132940401578,196.0,1.5457413249211356
oil & energy,2635,1.7892428141699883,277.0,2.184542586750789
aviation & aerospace,2565,1.741710747000387,262.0,2.0662460567823344
broadcast media,1941,1.317996319659942,71.0,0.5599369085173502
online media,1790,1.2154628604798023,81.0,0.6388012618296529
sports,1754,1.1910177973640077,107.0,0.8438485804416405
pharmaceuticals,1706,1.1584243798762808,222.0,1.750788643533123
investment banking,1581,1.073545688501993,79.0,0.6230283911671924
food & beverages,1559,1.0586070388201183,57.0,0.4495268138801261
apparel & fashion,1540,1.0457054777312265,48.0,0.3785488958990536
banking,1251,0.849465943273873,198.0,1.561514195583596
electrical/electronic manufacturing,1191,0.8087241714142148,26.0,0.2050473186119874
consumer goods,1020,0.692610121614189,72.0,0.5678233438485805
hospital & health care,1012,0.6871778853662346,142.0,1.1198738170347005
publishing,935,0.6348926114796732,21.0,0.1656151419558359
sporting goods,897,0.6090894893018897,23.0,0.1813880126182965
insurance,868,0.589397632903055,83.0,0.6545741324921136
real estate,844,0.5731009241591917,39.0,0.3075709779179811
media production,839,0.5697057765042202,41.0,0.3233438485804417
biotechnology,712,0.4834690260679437,87.0,0.6861198738170347
newspapers,665,0.4515546381112114,49.0,0.3864353312302839
computer games,644,0.4372950179603311,43.0,0.3391167192429022
food production,624,0.423714427340445,63.0,0.4968454258675078
hospitality,609,0.4135289843755305,62.0,0.4889589905362775
transportation/trucking/railroad,575,0.3904419803217241,33.0,0.2602523659305993
staffing and recruiting,561,0.3809355668878039,19.0,0.1498422712933754
"health, wellness and fitness",541,0.3673549762679179,28.0,0.2208201892744479
luxury goods & jewelry,523,0.3551324447100204,17.0,0.1340694006309148
construction,501,0.3401937950281457,86.0,0.6782334384858044
writing and editing,477,0.3238970862842825,28.0,0.2208201892744479
non-profit organization management,468,0.3177858205053337,39.0,0.3075709779179811
music,447,0.3035262003544534,22.0,0.1735015772870662
higher education,436,0.296056875513516,59.0,0.4652996845425867
public relations and communications,432,0.2933407573895388,27.0,0.2129337539432176
design,419,0.2845133734866129,30.0,0.2365930599369085
"leisure, travel & tourism",384,0.2607473399018123,28.0,0.2208201892744479
consumer services,354,0.2403764539719832,53.0,0.417981072555205
chemicals,337,0.2288329519450801,53.0,0.417981072555205
computer hardware,327,0.222042656635137,17.0,0.1340694006309148
wholesale,321,0.2179684794491712,14.0,0.1104100946372239
semiconductors,312,0.2118572136702225,5.0,0.0394321766561514
information services,298,0.2023508002363022,58.0,0.4574132492113565
computer networking,291,0.1975975935193421,10.0,0.0788643533123028
mining & metals,287,0.1948814753953649,16.0,0.1261829652996845
facilities services,279,0.1894492391474105,31.0,0.2444794952681387
management consulting,256,0.1738315599345415,17.0,0.1340694006309148
law enforcement,254,0.1724735008725529,162.0,1.2776025236593058
computer & network security,253,0.1717944713415586,103.0,0.8123028391167193
defense & space,243,0.1650041760316156,13.0,0.1025236593059937
wireless,238,0.1616090283766441,3.0,0.0236593059936908
executive office,235,0.1595719397836612,25.0,0.1971608832807571
investment management,230,0.1561767921286896,23.0,0.1813880126182965
government administration,228,0.154818733066701,113.0,0.891167192429022
package/freight delivery,226,0.1534606740047124,14.0,0.1104100946372239
business supplies and equipment,216,0.1466703786947694,9.0,0.0709779179810725
human resources,214,0.1453123196327808,34.0,0.2681388012618296
events services,210,0.1425962015088036,23.0,0.1813880126182965
medical devices,199,0.1351268766678663,19.0,0.1498422712933754
motion pictures and film,195,0.132410758543889,26.0,0.2050473186119874
professional training & coaching,185,0.125620463233946,10.0,0.0788643533123028
machinery,184,0.1249414337029517,9.0,0.0709779179810725
research,165,0.1120398726140599,59.0,0.4652996845425867
cosmetics,163,0.1106818135520713,4.0,0.0315457413249211
accounting,158,0.1072866658970998,12.0,0.0946372239747634
mechanical or industrial engineering,155,0.1052495773041169,8.0,0.0630914826498422
e-learning,151,0.1025334591801397,9.0,0.0709779179810725
Other,3182,2.160671967623869,546.0,4.305993690851731
