industry,count_all_articles,percentage_all_articles,count_breach_articles,percentage_breach_articles
internet,31519,21.402331787409434,3199.0,25.228706624605678
consumer electronics,14275,9.693146554943674,926.0,7.302839116719243
retail,9989,6.782825985102092,530.0,4.17981072555205
marketing and advertising,9871,6.702700500444764,699.0,5.512618296529968
automotive,8117,5.511682703080758,465.0,3.6671924290220823
financial services,5459,3.7068222096978998,989.0,7.799684542586751
entertainment,4936,3.351689764987879,462.0,3.643533123028391
computer software,4444,3.0176072357386823,319.0,2.5157728706624605
information technology and services,3821,2.5945718379292315,424.0,3.3438485804416405
restaurants,3589,2.4370369867385535,178.0,1.4037854889589907
airlines/aviation,3250,2.2068459757314844,226.0,1.782334384858044
telecommunications,2707,1.838132940401578,196.0,1.5457413249211356
oil & energy,2635,1.7892428141699883,277.0,2.184542586750789
aviation & aerospace,2565,1.741710747000387,262.0,2.0662460567823344
broadcast media,1941,1.317996319659942,71.0,0.5599369085173502
online media,1790,1.2154628604798023,81.0,0.6388012618296529
sports,1754,1.1910177973640075,107.0,0.8438485804416405
pharmaceuticals,1706,1.1584243798762808,222.0,1.750788643533123
investment banking,1581,1.073545688501993,79.0,0.6230283911671924
food & beverages,1559,1.0586070388201183,57.0,0.44952681388012616
apparel & fashion,1540,1.0457054777312265,48.0,0.3785488958990536
banking,1251,0.849465943273873,198.0,1.561514195583596
electrical/electronic manufacturing,1191,0.8087241714142148,26.0,0.2050473186119874
consumer goods,1020,0.692610121614189,72.0,0.5678233438485805
hospital & health care,1012,0.6871778853662346,142.0,1.1198738170347005
publishing,935,0.6348926114796732,21.0,0.16561514195583596
sporting goods,897,0.6090894893018897,23.0,0.1813880126182965
insurance,868,0.589397632903055,83.0,0.6545741324921136
real estate,844,0.5731009241591917,39.0,0.3075709779179811
media production,839,0.5697057765042202,41.0,0.3233438485804417
biotechnology,712,0.48346902606794373,87.0,0.6861198738170347
newspapers,665,0.45155463811121144,49.0,0.3864353312302839
computer games,644,0.4372950179603311,43.0,0.3391167192429022
food production,624,0.423714427340445,63.0,0.49684542586750785
hospitality,609,0.4135289843755305,62.0,0.48895899053627756
transportation/trucking/railroad,575,0.39044198032172417,33.0,0.26025236593059936
staffing and recruiting,561,0.38093556688780394,19.0,0.1498422712933754
"health, wellness and fitness",541,0.3673549762679179,28.0,0.22082018927444794
luxury goods & jewelry,523,0.3551324447100204,17.0,0.13406940063091483
construction,501,0.34019379502814573,86.0,0.6782334384858044
writing and editing,477,0.3238970862842825,28.0,0.22082018927444794
non-profit organization management,468,0.31778582050533377,39.0,0.3075709779179811
music,447,0.3035262003544534,22.0,0.17350157728706625
higher education,436,0.29605687551351606,59.0,0.46529968454258674
public relations and communications,432,0.29334075738953885,27.0,0.21293375394321767
design,419,0.28451337348661293,30.0,0.23659305993690852
"leisure, travel & tourism",384,0.2607473399018123,28.0,0.22082018927444794
consumer services,354,0.24037645397198323,53.0,0.41798107255520506
chemicals,337,0.2288329519450801,53.0,0.41798107255520506
computer hardware,327,0.22204265663513706,17.0,0.13406940063091483
wholesale,321,0.21796847944917122,14.0,0.11041009463722397
semiconductors,312,0.2118572136702225,5.0,0.03943217665615142
information services,298,0.20235080023630228,58.0,0.4574132492113565
computer networking,291,0.19759759351934214,10.0,0.07886435331230283
