year_bin,count_all_articles,percentage_all_articles,count_breach_articles,percentage_breach_articles
2005-2009,36,20.454545454545457,770,7.778563491261743
2010-2014,27,15.340909090909092,908,9.17264370138398
2000-2004,22,12.5,2134,21.557733104353975
1995-1999,20,11.363636363636363,891,9.000909182745733
1985-1989,11,6.25,127,1.2829578745327812
1990-1994,10,5.681818181818182,567,5.72785129811092
1975-1979,8,4.545454545454546,1066,10.768764521668855
1965-1969,7,3.977272727272727,216,2.1820385897565413
1905-1909,3,1.7045454545454544,324,3.2730578846348113
2015-2019,3,1.7045454545454544,198,2.0002020406101626
1970-1974,3,1.7045454545454544,171,1.727447216890595
1950-1954,2,1.1363636363636365,48,0.4848974643903424
1980-1984,2,1.1363636363636365,197,1.9901000101020305
1915-1919,2,1.1363636363636365,289,2.9194868168501866
1900-1904,2,1.1363636363636365,42,0.42428528134154964
1885-1889,2,1.1363636363636365,79,0.7980604101424387
1955-1959,2,1.1363636363636365,50,0.5051015254066068
1960-1964,2,1.1363636363636365,329,3.323568037175472
1945-1949,2,1.1363636363636365,355,3.5862208303869076
1875-1879,2,1.1363636363636365,95,0.9596928982725527
1925-1929,2,1.1363636363636365,59,0.5960197999797959
1880-1884,1,0.5681818181818182,30,0.30306091524396406
1895-1899,1,0.5681818181818182,251,2.5356096575411655
1820-1824,1,0.5681818181818182,7,0.07071421355692495
1920-1924,1,0.5681818181818182,43,0.4343873118496818
1940-1944,1,0.5681818181818182,30,0.30306091524396406
1935-1939,1,0.5681818181818182,142,1.4344883321547632
1845-1849,0,0.0,76,0.7677543186180422
1835-1839,0,0.0,7,0.07071421355692495
1830-1834,0,0.0,10,0.10102030508132136
1825-1829,0,0.0,1,0.010102030508132135
1840-1844,0,0.0,4,0.04040812203252854
1855-1859,0,0.0,38,0.3838771593090211
1850-1854,0,0.0,22,0.22224467117890695
1930-1934,0,0.0,88,0.8889786847156278
1910-1914,0,0.0,34,0.3434690372764926
1870-1874,0,0.0,35,0.3535710677846247
1865-1869,0,0.0,105,1.0607132033538742
1860-1864,0,0.0,38,0.3838771593090211
1890-1894,0,0.0,23,0.2323467016870391
