industry,count_all_articles,percentage_all_articles,count_breach_articles,percentage_breach_articles,standard_error,z_score,p_value
internet,52.0,22.51082251082251,3199,25.22870662460568,0.0037089978419871214,7.327812604838405,2.34035013590983e-13
computer software,17.0,7.35930735930736,319,2.5157728706624605,0.002318781040456448,-20.888278816060435,0.0
hospital & health care,15.0,6.493506493506493,142,1.1198738170347005,0.0021882699596171315,-24.556534502772156,0.0
financial services,15.0,6.493506493506493,989,7.799684542586751,0.0021882699596171315,5.968998675596642,2.3871404852826572e-09
information technology and services,12.0,5.194805194805195,424,3.3438485804416405,0.0019707932846667543,-9.391936885336689,0.0
telecommunications,12.0,5.194805194805195,196,1.5457413249211356,0.0019707932846667543,-18.515710898117288,0.0
higher education,8.0,3.463203463203463,59,0.4652996845425867,0.0016237748793401256,-18.462557937090228,0.0
computer games,7.0,3.0303030303030303,43,0.3391167192429022,0.0015223041191009948,-17.67837501910869,0.0
airlines/aviation,7.0,3.0303030303030303,226,1.782334384858044,0.0015223041191009948,-8.19789311338119,2.220446049250313e-16
entertainment,6.0,2.5974025974025974,462,3.643533123028391,0.001412522185100521,7.4061174872899205,1.3011813848606835e-13
marketing and advertising,5.0,2.1645021645021645,699,5.512618296529968,0.0012923127082420595,25.907940939327798,0.0
government administration,4.0,1.7316017316017316,113,0.891167192429022,0.001158434058753532,-7.254919111036946,4.0190073491430667e-13
consumer electronics,3.0,1.2987012987012987,926,7.302839116719243,0.0010054406602032348,59.71648109799237,0.0
online media,3.0,1.2987012987012987,81,0.6388012618296529,0.0010054406602032348,-6.5632917286064085,5.2632787017614646e-11
food & beverages,3.0,1.2987012987012987,57,0.4495268138801261,0.0010054406602032348,-8.44579415208377,0.0
fine art,2.0,0.8658008658008658,1,0.0078864353312302,0.0008227371962012726,-10.427563436183299,0.0
e-learning,2.0,0.8658008658008658,9,0.0709779179810725,0.0008227371962012726,-9.660714885502145,0.0
defense & space,2.0,0.8658008658008658,13,0.1025236593059937,0.0008227371962012726,-9.277290610161566,0.0
computer hardware,2.0,0.8658008658008658,17,0.1340694006309148,0.0008227371962012726,-8.89386633482099,0.0
motion pictures and film,2.0,0.8658008658008658,26,0.2050473186119874,0.0008227371962012726,-8.031161715304691,8.881784197001252e-16
military,2.0,0.8658008658008658,12,0.0946372239747634,0.0008227371962012726,-9.373146678996712,0.0
design,2.0,0.8658008658008658,30,0.2365930599369085,0.0008227371962012726,-7.647737439964114,2.042810365310288e-14
hospitality,2.0,0.8658008658008658,62,0.4889589905362775,0.0008227371962012726,-4.580343237239496,4.642134547427901e-06
consumer services,2.0,0.8658008658008658,53,0.417981072555205,0.0008227371962012726,-5.443047856755794,5.237656797163481e-08
automotive,2.0,0.8658008658008658,465,3.6671924290220814,0.0008227371962012726,34.04965250332367,0.0
oil & energy,2.0,0.8658008658008658,277,2.184542586750789,0.0008227371962012726,16.028711562316538,0.0
law enforcement,1.0,0.4329004329004329,162,1.2776025236593058,0.0005830318918805606,14.488094090947564,0.0
accounting,1.0,0.4329004329004329,12,0.0946372239747634,0.0005830318918805606,-5.801795984686302,6.560835874580562e-09
legal services,1.0,0.4329004329004329,2,0.0157728706624605,0.0005830318918805606,-7.154455323061894,8.399947404313934e-13
investment banking,1.0,0.4329004329004329,79,0.6230283911671924,0.0005830318918805606,3.261021582430159,0.0011101159031894348
insurance,1.0,0.4329004329004329,83,0.6545741324921136,0.0005830318918805606,3.802085317780396,0.00014348329605362586
investment management,1.0,0.4329004329004329,23,0.1813880126182965,0.0005830318918805606,-4.313870712473152,1.604207835503857e-05
"leisure, travel & tourism",1.0,0.4329004329004329,28,0.2208201892744479,0.0005830318918805606,-3.637541043285357,0.0002752533406358282
construction,1.0,0.4329004329004329,86,0.6782334384858044,0.0005830318918805606,4.207883119293073,2.577741287801416e-05
restaurants,1.0,0.4329004329004329,178,1.4037854889589907,0.0005830318918805606,16.652349032348518,0.0
real estate,1.0,0.4329004329004329,39,0.3075709779179811,0.0005830318918805606,-2.149615771072205,0.03158561987855868
photography,1.0,0.4329004329004329,2,0.0157728706624605,0.0005830318918805606,-7.154455323061894,8.399947404313934e-13
machinery,1.0,0.4329004329004329,9,0.0709779179810725,0.0005830318918805606,-6.20759378619898,5.380200729376838e-10
medical practice,1.0,0.4329004329004329,1,0.0078864353312302,0.0005830318918805606,-7.289721256899454,3.106404022901188e-13
music,1.0,0.4329004329004329,22,0.1735015772870662,0.0005830318918805606,-4.449136646310712,8.621615315007602e-06
fund-raising,1.0,0.4329004329004329,1,0.0078864353312302,0.0005830318918805606,-7.289721256899454,3.106404022901188e-13
"health, wellness and fitness",1.0,0.4329004329004329,28,0.2208201892744479,0.0005830318918805606,-3.637541043285357,0.0002752533406358282
broadcast media,1.0,0.4329004329004329,71,0.5599369085173502,0.0005830318918805606,2.178894111729688,0.029339535304116593
business supplies and equipment,1.0,0.4329004329004329,9,0.0709779179810725,0.0005830318918805606,-6.20759378619898,5.380200729376838e-10
transportation/trucking/railroad,1.0,0.4329004329004329,33,0.2602523659305993,0.0005830318918805606,-2.961211374097562,0.0030643155500504893
utilities,1.0,0.4329004329004329,10,0.0788643533123028,0.0005830318918805606,-6.072327852361421,1.2606922172864188e-09
architecture & planning,1.0,0.4329004329004329,33,0.2602523659305993,0.0005830318918805606,-2.961211374097562,0.0030643155500504893
Other,0.0,0.0,1859,14.660883280757096,0.0,inf,0.0
