Industry,Size,Company F1,Company Accuracy,Breach F1,Breach Accuracy,Sample Size
"medical devices",small,N/A,N/A,N/A,N/A,0
"medical devices",medium,0.89,0.80,0.80,0.80,5
"medical devices",large,N/A,N/A,N/A,N/A,0
"telecommunications",small,1.00,1.00,0.00,1.00,1
"telecommunications",medium,0.68,0.52,0.44,0.60,25
"telecommunications",large,1.00,1.00,0.00,0.88,8
"information technology and services",small,1.00,1.00,0.89,0.90,10
"information technology and services",medium,1.00,1.00,0.00,1.00,3
"information technology and services",large,0.80,0.67,0.00,1.00,3
"import and export",small,N/A,N/A,N/A,N/A,0
"import and export",medium,N/A,N/A,N/A,N/A,0
"import and export",large,1.00,1.00,0.00,0.67,3
"entertainment",small,N/A,N/A,N/A,N/A,0
"entertainment",medium,1.00,1.00,1.00,1.00,1
"entertainment",large,1.00,1.00,1.00,1.00,2
"marketing and advertising",small,0.64,0.47,0.78,0.72,32
"marketing and advertising",medium,0.50,0.33,1.00,1.00,6
"marketing and advertising",large,0.50,0.33,1.00,1.00,6
"retail",small,0.75,0.60,0.89,0.80,5
"retail",medium,N/A,N/A,N/A,N/A,0
"retail",large,0.67,0.50,1.00,1.00,2
"executive office",small,0.67,0.50,1.00,1.00,2
"executive office",medium,N/A,N/A,N/A,N/A,0
"executive office",large,N/A,N/A,N/A,N/A,0
"computer software",small,1.00,1.00,1.00,1.00,4
"computer software",medium,0.91,0.83,1.00,1.00,6
"computer software",large,1.00,1.00,1.00,1.00,3
"higher education",small,N/A,N/A,N/A,N/A,0
"higher education",medium,N/A,N/A,N/A,N/A,0
"higher education",large,0.67,0.50,1.00,1.00,2
"printing",small,N/A,N/A,N/A,N/A,0
"printing",medium,0.67,0.50,1.00,1.00,2
"printing",large,N/A,N/A,N/A,N/A,0
"government relations",small,N/A,N/A,N/A,N/A,0
"government relations",medium,N/A,N/A,N/A,N/A,0
"government relations",large,0.52,0.35,0.31,0.47,17
"transportation/trucking/railroad",small,N/A,N/A,N/A,N/A,0
"transportation/trucking/railroad",medium,0.52,0.35,0.31,0.47,17
"transportation/trucking/railroad",large,N/A,N/A,N/A,N/A,0
"research",small,0.67,0.50,0.00,1.00,2
"research",medium,1.00,1.00,0.00,1.00,1
"research",large,0.52,0.35,0.31,0.47,17
"management consulting",small,1.00,1.00,1.00,1.00,5
"management consulting",medium,1.00,1.00,0.00,1.00,1
"management consulting",large,N/A,N/A,N/A,N/A,0
"insurance",small,N/A,N/A,N/A,N/A,0
"insurance",medium,1.00,1.00,0.00,1.00,1
"insurance",large,1.00,1.00,0.00,1.00,1
"venture capital & private equity",small,N/A,N/A,N/A,N/A,0
"venture capital & private equity",medium,0.00,0.00,1.00,1.00,2
"venture capital & private equity",large,1.00,1.00,0.00,1.00,1
"electrical/electronic manufacturing",small,1.00,1.00,0.00,1.00,1
"electrical/electronic manufacturing",medium,N/A,N/A,N/A,N/A,0
"electrical/electronic manufacturing",large,1.00,1.00,0.00,1.00,1
"staffing and recruiting",small,N/A,N/A,N/A,N/A,0
"staffing and recruiting",medium,N/A,N/A,N/A,N/A,0
"staffing and recruiting",large,1.00,1.00,0.00,1.00,1
"market research",small,1.00,1.00,1.00,1.00,1
"market research",medium,N/A,N/A,N/A,N/A,0
"market research",large,1.00,1.00,0.00,1.00,1
"renewables & environment",small,0.80,0.67,0.00,1.00,3
"renewables & environment",medium,0.67,0.50,0.00,1.00,2
"renewables & environment",large,N/A,N/A,N/A,N/A,0
"computer & network security",small,1.00,1.00,0.00,1.00,1
"computer & network security",medium,N/A,N/A,N/A,N/A,0
"computer & network security",large,N/A,N/A,N/A,N/A,0
"fine art",small,0.00,0.00,0.00,1.00,1
"fine art",medium,N/A,N/A,N/A,N/A,0
"fine art",large,N/A,N/A,N/A,N/A,0
"philanthropy",small,0.00,0.00,0.00,1.00,1
"philanthropy",medium,N/A,N/A,N/A,N/A,0
