Date,Publication,Headline,URL,BreachMentioned,CompanyMentioned
20111121,BBC,Iran hit by fresh West sanctions,http://www.bbc.co.uk/news/world-middle-east-15824492,True,Government
20111121,BBC,MF Global missing cash 'doubles',http://www.bbc.co.uk/news/business-15829529,True,MF Global
20111121,BBC,Hackers 'attack' US water system,http://www.bbc.co.uk/news/technology-15817335,True,False
20170315,BBC,US charges Russian spies over Yahoo breach,http://www.bbc.com/news/technology-39281063,True,False
20170315,BBC,4 Donald Trump 2005 tax return leaked,http://www.bbc.com/news/world-us-canada-39275838,True,Donald Trump
20170315,BBC,Emma Watson private photos stolen in 'hack',http://www.bbc.com/news/entertainment-arts-39280844,True,False
20111122,BBC,Olympic fraudsters on their marks,http://www.bbc.co.uk/news/business-15823628,True,False
20111122,BBC,'New release' of climate emails,http://www.bbc.co.uk/news/world-15840562,True,False
20150503,BBC,Costa Rica issues toxic spill alert,http://www.bbc.com/news/world-latin-america-32578038,True,False
20111123,BBC,132 councils 'lost private data',http://www.bbc.co.uk/news/uk-15840373,True,Government
20111124,BBC,Iran arrests 12 for 'CIA spying',http://www.bbc.co.uk/news/world-middle-east-15879086,True,False
20210209,BBC,Cyberpunk 2077 makers hit by ransomware hack,https://www.bbc.com/news/technology-55994787,True,CD Projekt Red
20210209,BBC,Facebook sued for 'losing control' of usersâ data,https://www.bbc.com/news/technology-55998588,True,Facebook
20130805,BBC,Rodriguez in baseball doping ban,http://www.bbc.com/news/world-us-canada-23578738,True,Rodriguez
20130805,BBC,Dark net child abuse sites breached,http://www.bbc.com/news/technology-23573048,Yes,False
20150506,BBC,Lenovo: 'massive security risk' found,http://www.bbc.com/news/technology-32607618,True,Lenovo
20130806,BBC,5: Fukushima water leak 'emergency',http://www.bbc.co.uk/news/world-asia-23578859,True,False
20190217,BBC,The cryptocurrency company that lost $135m,https://www.bbc.com/news/world-us-canada-47203706,True,QuadrigaCX
20150507,BBC,US phone data collection 'illegal',http://www.bbc.com/news/world-us-canada-32620742,True,False
20190218,BBC,Australian parties 'hacked by state actor',https://www.bbc.com/news/world-australia-47274663,True,False
20170322,BBC,Two major US firms 'tricked out of $100m',http://www.bbc.com/news/technology-39351215,True,False
20210213,BBC,China 'refused access' to key Covid data for WHO,https://www.bbc.com/news/world-asia-china-56054468,True,Government
20210214,BBC,Crown casino boss resigns amid laundering scandal,https://www.bbc.com/news/world-australia-56065635,True,Crown casino
20170324,BBC,2 Samsung says sorry for scandal,http://www.bbc.com/news/business-39376289,True,Samsung
20111129,BBC,Facebook settles privacy inquiry,http://www.bbc.co.uk/news/business-15953414,True,Facebook
20111129,BBC,United Nations agency 'hacked',http://www.bbc.co.uk/news/technology-15951883,True,False
20150511,BBC,Ex-CIA officer jailed for leaking,http://www.bbc.com/news/32456102,True,False
20150511,BBC,Photobucket hackers face charges,http://www.bbc.com/news/technology-32690061,True,Photobucket
20150511,BBC,5 Ex-CIA officer jailed for leaking,http://www.bbc.co.uk/news/32456102,True,False
20210216,BBC,North Korea accused of hacking Pfizer for vaccine,https://www.bbc.com/news/technology-56084575,True,Pfizer
20190223,BBC,Another Facebook data row. But who to blame?,https://www.bbc.com/news/technology-47341533,True,Facebook
20210217,BBC,US charges three North Koreans over $1.3bn theft,https://www.bbc.com/news/technology-56103921,True,North Korea
20190224,BBC,Bangladesh plane 'hijacker' shot dead,https://www.bbc.com/news/world-asia-47350138,True,False
20150513,BBC,Japan firms recall 6.5 million cars,http://www.bbc.com/news/business-32716802,True,false
20130813,BBC,Dalai Lama's Chinese website hacked,http://www.bbc.com/news/technology-23680686,True,False
20190226,BBC,Pound rises amid Brexit delay speculation,https://www.bbc.com/news/business-47372955,True,government
20170329,BBC,4 Toshiba nuclear unit in bankruptcy,http://www.bbc.com/news/business-39424634,True,Toshiba
20130815,BBC,Washington Post and CNN hit by hack,http://www.bbc.com/news/technology-23712007,True,"Washington Post, CNN"
20170330,BBC,Russia 'tried to hijack US election',http://www.bbc.com/news/world-us-canada-39442901,True,Russia
20130816,BBC,3: NSA 'broke snooping privacy rules',http://www.bbc.co.uk/news/world-us-canada-23721818,True,Government
20111205,BBC,Russian poll sites 'are hacked',http://www.bbc.co.uk/news/technology-16032402,True,Russia
20150518,BBC,Rolls-Royce cuts 600 marine jobs,http://www.bbc.com/news/business-32783577,True,Rolls-Royce
20150519,BBC,Nine held over Hatton Garden heist,http://www.bbc.com/news/uk-england-london-32799703,True,False
20111207,BBC,Blagojevich sentenced to 14 years,http://www.bbc.co.uk/news/world-15602816,True,False
20111207,BBC,Zuckerberg Facebook photos hacked,http://www.bbc.co.uk/news/technology-16067383,True,Facebook
20150520,BBC,2 Forex scandal nets banks record fines,http://www.bbc.co.uk/news/business-32817114,True,True
20190305,BBC,Reality Check,https://www.bbc.com/news/topics/cp7r8vgl2rgt/reality-check,True,Facebook
20190305,BBC,Mystery as millions in crypto-cash lost,https://www.bbc.com/news/technology-47454528,True,False
20111208,BBC,Remains of 274 US troops 'dumpedâ,http://www.bbc.co.uk/news/world-us-canada-16081240,True,False
20150521,BBC,Mazda and Mitsubishi recall more cars,http://www.bbc.com/news/business-32840813,True,"Mazda, Mitsubishi"
20150521,BBC,Spyware app admits it has been hacked,http://www.bbc.com/news/technology-32826678,True,False
20150521,BBC,Adult website hack compromises users,http://www.bbc.com/news/business-32839196,True,False
20150521,BBC,5 Baltimore police charged over death,http://www.bbc.co.uk/news/world-us-canada-32833803,True,False
20130820,BBC,Leak found at Fukushima,http://www.bbc.co.uk/news/world-asia-23768782,True,False
20130820,BBC,Radioactive water leak at Fukushima,http://www.bbc.com/news/world-asia-23764382,True,False
20150522,BBC,Starbucks gift card hack was 'fraud',http://www.bbc.com/news/technology-32844123,True,Starbucks
20190307,BBC,Man City FFP breach claims investigated,https://www.bbc.com/sport/football/47490375,True,Manchester City
20130821,BBC,Manning given 35 years for leaks,http://www.bbc.com/news/world-us-canada-23784288,True,False
20130821,BBC,3: Manning given 35 years for leaks,http://www.bbc.co.uk/news/world-us-canada-23784288,True,False
20190311,BBC,Ethiopian Airlines 'black boxes' found,https://www.bbc.com/news/world-africa-47521744,True,Ethiopian Airlines
20170409,BBC,"3 Wonga data breach 'affects 245,000 in UK'",http://www.bbc.com/news/business-39544762,Yes,Wonga
20210303,BBC,4 Microsoft accuses China over email cyber-attacks,https://www.bbc.com/news/business-56261516,True,Microsoft
20111213,BBC,Emails on hacking sent to Murdoch,http://www.bbc.co.uk/news/uk-politics-16165213,True,True
20111213,BBC,Hackers 'hit city services' in US,http://www.bbc.co.uk/news/technology-16157883,True,False
20111213,BBC,Student admits Facebook hacking,http://www.bbc.co.uk/news/uk-england-york-north-yorkshire-16159653,True,Facebook
20150527,BBC,US military shipped Anthrax to labs,http://www.bbc.com/news/world-us-canada-32910020,True,False
