Date,Publication,Headline,URL,BreachMentioned,CompanyMentioned
20130801,CNN,Florida cops' shooting mistake,http://www.cnn.com/2013/07/31/us/florida-police-shooting/index.html?hpt=hp_bn1,True,False
20210205,CNN,Starr: Very disturbing security breach at Joint Base Andrews,https://www.cnn.com/videos/us/2021/02/05/joint-base-andrews-security-breach-starr-nr-vpx.cnn/video/playlists/top-news-videos/,True,Joint Base Andrews
20111121,CNN,"U.S., UK slap new sanctions on Iran",http://www.cnn.com/2011/11/21/world/meast/iran-sanctions/index.html?hpt=hp_t2,True,Government
20111121,CNN,Slain girl's kin at UK hacking inquiry,http://www.cnn.com/2011/11/21/world/europe/uk-phone-hacking-scandal/index.html?hpt=hp_t2,True,False
20111121,CNN,Dr. Drew: PSU private records,http://www.cnn.com/video/?hpt=hp_mid#/video/us/2011/11/17/drew-penn-righttoknow.hln,True,False
20130802,CNN,Photos: Diplomatic site attacks,http://www.cnn.com/2013/08/02/world/gallery/embassy-attacks/index.html?hpt=hp_t1,True,False
20130802,CNN,"50,000 pounds of ground beef products recalled",http://www.cnn.com/2013/08/01/health/beef-recall/index.html?hpt=hp_c2,True,False
20130802,CNN,Your TV might be watching you,http://money.cnn.com/2013/08/01/technology/security/tv-hack/index.html?iid=Lead&hpt=hp_bn1,True,False
20130802,CNN,Time Warner Cable blacks outs CBS,http://money.cnn.com/2013/08/02/news/companies/cbs-time-warner-blackout/index.html?source=cnn_bin,True,Time Warner Cable
20111122,CNN,Shotguns fired at Egypt crowd,http://www.cnn.com/video/?hpt=hp_t2#/video/world/2011/11/22/egypt-police-fire-shotguns-at-crowd-in-tahrir-square.cnn,True,False
20091201,CNN,AIG unloads $25 billion in debt,http://money.cnn.com/2009/12/01/news/companies/aig/index.htm?cnn=yes,True,AIG
20130804,CNN,NYPD: Cop fatally shoots armed teen,http://www.cnn.com/2013/08/04/justice/new-york-police-shoot-teen/index.html?hpt=hp_t2,True,False
20130804,CNN,China halts import of milk powder,http://www.cnn.com/2013/08/04/world/asia/china-botulism-milk-powder/index.html?hpt=hp_t2,True,China
20150505,CNN,'I wanted to be arrested' by N. Korea,http://www.cnn.com/2015/05/05/asia/north-korea-detained-student-interview/index.html,True,North Korea
20091204,CNN,10M Slim-Fast cans recalled,http://money.cnn.com/2009/12/04/news/companies/Unilever_Slim_Fast_recall/index.htm?cnn=yes,True,Unilever
20130806,CNN,5 scary new hacks,http://www.cnn.com/2013/08/05/tech/mobile/five-hacks/index.html?hpt=hp_bn5,True,False
20130807,CNN,Doctor charged with selling babies,http://www.cnn.com/2013/08/07/world/asia/china-baby-trafficking-shaanxi/index.html?hpt=hp_bn2,True,False
20130808,CNN,Android hack can spy on you,http://money.cnn.com/video/technology/security/2013/08/07/t-spy-phone.cnnmoney/index.html?source=cnn_bin,True,False
20111128,CNN,Feds shut down 150 shopping sites,http://www.cnn.com/2011/11/28/tech/websites-counterfiet-goods/index.html?hpt=hp_t2,True,False
20150510,CNN,4 charged in officers' deaths,http://www.cnn.com/2015/05/10/us/mississippi-police-officers-shot-dead/index.html,True,False
20150510,CNN,Worries up after nuke plant blast,http://www.cnn.com/2015/05/10/us/new-york-nuclear-plant-fire/index.html,True,False
20091209,CNN,Airport screening manual leaks,http://www.cnn.com/video/#/video/us/2009/12/09/am.tsa.manual.leak.cnn,True,TSA
20111129,CNN,S&P downgrades dozens of banks,http://money.cnn.com/2011/11/29/news/companies/bank_ratings_downgrades_sandp/index.htm?hpt=hp_t2,True,True
20111129,CNN,Epstein: DSK's BlackBerry was hacked,http://www.cnn.com/video/#/video/world/2011/11/29/qmb-epstein-dsk-hacking-opinion.cnn,True,False
20111129,CNN,Can you fix the European debt crisis?,http://globalpublicsquare.blogs.cnn.com/2011/11/29/can-you-fix-the-european-debt-crisis/?hpt=hp_bn4,True,False
20111129,CNN,Facebook gets privacy wrist-slap,http://money.cnn.com/2011/11/29/technology/facebook_settlement/index.htm?source=cnn_bin,True,Facebook
20111129,CNN,Facebook settles privacy complaint,http://money.cnn.com/2011/11/29/technology/facebook_settlement/index.htm?iid=Lead&hpt=hp_bn6,True,Facebook
20210215,CNN,New Capitol riot video shows extreme levels of coordination,https://www.cnn.com/videos/politics/2021/02/15/capitol-insurrection-newly-released-video-foreman-dnt-lead-vpx.cnn/video/playlists/top-news-videos/,True,False
20091210,CNN,The hackers behind 'Climategate',http://www.cnn.com/video/#/video/world/2009/12/10/newton.uk.climate.gates.cnn,True,False
20150511,CNN,Police: George Zimmerman involved in Florida shooting,http://www.cnn.com/2015/05/11/us/florida-george-zimmerman-shooting/index.html,True,George Zimmerman
20150511,CNN,4 charged in police killings,http://www.cnn.com/2015/05/11/us/mississippi-police-officers-shot-dead/index.html,True,False
20111130,CNN,Ex-Blair aide to testify on hacking,http://www.cnn.com/2011/11/30/world/europe/uk-phone-hacking-scandal/index.html?hpt=hp_bn4,True,False
20150512,CNN,Hacked to death,http://www.cnn.com/2015/05/12/asia/bangladesh-blogger-killed/index.html,True,False
20150513,CNN,Hackers drain bank accounts via Starbucks app,http://money.cnn.com/2015/05/13/technology/hackers-starbucks-app/index.html,True,Starbucks
20130813,CNN,FBI releases video confessions,http://www.cnn.com/video/data/2.0/video/us/2013/08/13/evexp-alaska-serial-killer-victims.hln.html?hpt=hp_t2,True,False
20111202,CNN,Carrier IQ 'surprised' by its tracking,http://money.cnn.com/2011/12/02/technology/carrier_iq/index.htm?source=cnn_bin,True,Carrier IQ
20111203,CNN,3rd body ID'd in killings linked to ad,http://www.cnn.com/2011/12/03/us/ohio-craigslist-killings/index.html?hpt=hp_t2,True,False
20111203,CNN,3rd body ID'd in Ohio killings tied to ad,http://www.cnn.com/2011/12/03/us/ohio-craigslist-killings/index.html,True,False
20130815,CNN,UPS plane data recorders found,http://www.cnn.com/2013/08/15/us/alabama-ups-plane-crash/index.html?hpt=hp_t2,True,UPS
20091216,CNN,Nude videos haunt Erin Andrews,http://www.cnn.com/video/#/video/crime/2009/12/15/sot.erin.andrews.after.court.cnn,True,False
20130815,CNN,Beauty: My bedroom webcam was hacked,http://www.cnn.com/video/data/2.0/video/us/2013/08/15/nr-miss-teen-usa-alleges-extortion.cnn.html?hpt=hp_c4,True,False
20130815,CNN,Your home is easily hacked,http://www.cnn.com/2013/08/14/opinion/schneier-hacking-baby-monitor/index.html?hpt=hp_bn7,True,False
20091217,CNN,amFix: Militants hack U.S. drones?,http://amfix.blogs.cnn.com/2009/12/17/wsj-militants-used-26-software-to-hack-u-s-drones/,True,False
20130816,CNN,Miss Teen USA: I've been hacked,http://www.cnn.com/video/data/2.0/video/showbiz/2013/08/16/sbt-miss-teen-usa-webcam-hack-extortion.hln.html?hpt=hp_t3,True,Miss Teen USA
20150517,CNN,FBI: Man says he took over airline's engine controls,http://www.cnn.com/2015/05/17/us/fbi-hacker-flight-computer-systems/index.html,True,False
20130816,CNN,Hacker hijacks baby's monitor,http://www.cnn.com/2013/08/14/tech/web/hacked-baby-monitor/index.html?hpt=hp_bn5,True,False
20111205,CNN,Fallout over smartphone tracking app,http://www.cnn.com/2011/12/02/tech/mobile/carrier-iq-reactions/index.html?hpt=hp_bn6,True,Carrier IQ
20091218,CNN,"447,000 baby seats recalled",http://money.cnn.com/2009/12/18/news/companies/baby_carrier_car_seat_recall/index.htm?cnn=yes,True,Baby Carrier Car Seat Recall
20130817,CNN,"GM recalls 300,000 cars",http://money.cnn.com/2013/08/16/autos/chevrolet-cruze-recall/?hpt=hp_t3,True,GM
20130817,CNN,"GM to recall 300,000 Chevy Cruzes",http://money.cnn.com/2013/08/16/autos/chevrolet-cruze-recall/index.html?iid=HP_LN&hpt=hp_bn1,True,GM
20111206,CNN,Facebook glitch revealed private photos,http://www.cnn.com/2011/12/06/tech/social-media/facebook-private-photos/index.html?hpt=hp_t2,True,Facebook
20111206,CNN,Glitch let Facebook users see private photos,http://www.cnn.com/2011/12/06/tech/social-media/facebook-private-photos/index.html,True,Facebook
