Date,Publication,Headline,URL,BreachMentioned,CompanyMentioned
20111121,New York Times,MF Global Shortfall Could Exceed $1.2 Billion,http://dealbook.nytimes.com/2011/11/21/mf-global-trustee-estimates-shortfall-could-be-more-than-1-2-billion/?hp,True,MF Global
20170315,New York Times,"Russian Agents Are Behind Yahoo Breach, U.S. Says",https://www.nytimes.com/2017/03/15/technology/yahoo-hack-indictment.html,True,Yahoo
20070102,New York Times,Data on Hispanic Immigrants Presents Puzzle on Aging,http://www.nytimes.com/2007/01/03/science/03ageside.html,True,False
20070102,New York Times,"Political Paper Stolen, Giuliani Camp Says",http://www.nytimes.com/2007/01/03/nyregion/03rudy.html,True,Rudy Giuliani
20111122,New York Times,E-Mail Leaks Ahead of Climate Talks,http://www.nytimes.com/aponline/2011/11/22/world/europe/AP-EU-Climate-Leaked-Emails.html?hp,True,False
20170316,New York Times,Indictment Details Collusion Between Cyberthief and 2 Russian Spies,https://www.nytimes.com/2017/03/15/us/politics/indictment-collusion-cyberthief-russian-spies-yahoo.html,True,False
20070105,New York Times,"Lilly Settles With 18,000 Over Zyprexa",http://www.nytimes.com/2007/01/05/business/05drug.html,True,Lilly
20190213,New York Times,"Manafort Lied to Prosecutors in Russia Inquiry, Judge RulesPresident Trumpâs former campaign chairman was untruthful about several topics, a federal judge found, potentially leading to a longer sentence.",https://www.nytimes.com/2019/02/13/us/politics/manafort-mueller.html,True,Government
20190213,New York Times,Secret U.S. Program Has Sabotaged Iranian Missiles for YearsThe covert attacks on aerospace supply chains are meant to cripple Iranâs missile fleets. Iranian leaders maintain they are not deterred by any setbacks.,https://www.nytimes.com/2019/02/13/us/politics/iran-missile-launch-failures.html,True,False
20111123,New York Times,New Trove of Stolen E-Mails From Climate Scientists Is Released,http://www.nytimes.com/2011/11/23/science/earth/new-trove-of-stolen-e-mails-from-climate-scientists-is-released.html?hpw,True,False
20170318,New York Times,"One Billion Yahoo Accounts Still for Sale, Despite Hacking Indictments",https://www.nytimes.com/2017/03/17/technology/yahoo-hack-data-indictments.html,True,Yahoo
20130805,New York Times,M.L.B. Suspends Rodriguez and 12 Others for Doping,http://www.nytimes.com/2013/08/06/sports/baseball/mlb-suspends-12-in-doping-investigation.html?hpw,True,MLB
20091203,New York Times,Secret Service Agents Put on Leave,http://thecaucus.blogs.nytimes.com/2009/12/03/agents-put-on-leave-after-state-dinner-breach/?hp,True,Secret Service
20070110,New York Times,Firms Fret as Office E-Mail Jumps Security Walls,http://www.nytimes.com/2007/01/11/technology/11email.html?hp&ex=1168578000&en=552c9e079982fece&ei=5094&partner=homepage,True,False
20130806,New York Times,Wheels:    Highway Agencyâs Servers Hacked,http://wheels.blogs.nytimes.com/2013/08/06/someone-hacked-n-h-t-s-a-s-servers/?hp,True,False
20170320,New York Times,F.B.I. Confirms Inquiry on Trump Teamâs Possible Ties to Russian Election Meddling,https://www.nytimes.com/2017/03/20/us/politics/fbi-investigation-trump-russia-comey.html,True,Government
20210211,New York Times,Virus Updates: California Runs Out of Vaccine Doses at Dodger StadiumLos Angeles is closing vaccination sites because of a shortage. Instagram barred Robert Kennedy Jr. over false vaccine claims.,https://www.nytimes.com/live/2021/02/11/world/covid-19-coronavirus/,True,False
20111126,New York Times,Anti-H.I.V. Trial in Africa Canceled Over Failure to Prevent Infection,http://www.nytimes.com/2011/11/26/health/research/anti-hiv-gel-trial-is-canceled-in-africa.html?hpw,True,False
20150507,New York Times,"N.S.A. Program Is Illegal, Appeals Court Rules",http://www.nytimes.com/2015/05/08/us/nsa-phone-records-collection-ruled-illegal-by-appeals-court.html,True,Government
20150507,New York Times,The Illegal Phone-Data Sweeps,http://www.nytimes.com/2015/05/08/opinion/the-illegal-phone-data-sweeps.html,True,False
20150507,New York Times,In Debt: Corinthian Collegesâ Lean Business Model Leaves Little for CreditorsNYT Now,http://www.nytimes.com/2015/05/07/business/dealbook/corinthian-colleges-lean-business-model-leaves-little-for-creditors.html,True,Corinthian Colleges
20111127,New York Times,Phone Hacking Tied to Terrorists,http://www.nytimes.com/2011/11/27/world/asia/4-in-philippines-accused-of-hacking-us-phones-to-aid-terrorists.html?hpw,True,False
20150508,New York Times,"Perfect Nails, Poisoned Workers",http://www.nytimes.com/2015/05/11/nyregion/nail-salon-workers-in-nyc-face-hazardous-chemicals.html,True,False
20130808,New York Times,N.S.A. Said to Comb Content of Messages to and From U.S.,http://www.nytimes.com/2013/08/08/us/broader-sifting-of-data-abroad-is-seen-by-nsa.html?hp,True,Government
20170322,New York Times,Records Leak in Eric Garner Case Renews Debate on Police Discipline,https://www.nytimes.com/2017/03/22/nyregion/nypd-eric-garner-daniel-pantaleo-disciplinary-records.html,True,False
20130808,New York Times,N.S.A. Said to Search Content of Messages to and From U.S.,http://www.nytimes.com/2013/08/08/us/broader-sifting-of-data-abroad-is-seen-by-nsa.html?hpw,True,False
20130808,New York Times,"West Germany Engaged in Sports Doping in 1970s, Study Says",http://www.nytimes.com/2013/08/09/sports/west-germany-engaged-in-sports-doping-in-1970s-study-says.html?hpw,True,False
20130809,New York Times,"Japanâs Debt Passes 1,000,000,000,000,000 Yen",http://www.nytimes.com/2013/08/10/world/asia/japans-debt-reaches-new-milestone.html?hp,True,Japan
20130809,New York Times,Sallie Mae to Be Accused of Overcharging Military Personnel on Loans,http://www.nytimes.com/2013/08/10/us/sallie-mae-to-be-accused-of-overcharging-military-personnel-on-loans.html?hpw,True,Sallie Mae
20130809,New York Times,Bits Blog: 2 E-Mail Services Close and Destroy Data Rather Than Reveal Files,http://bits.blogs.nytimes.com/2013/08/08/two-providers-of-encrypted-e-mail-shut-down/?hpw,True,Lavabit
20130809,New York Times,Witness in Manning Case Says Leaks Could Help Al Qaeda,http://www.nytimes.com/2013/08/09/us/witness-in-manning-trial-says-leaks-could-help-al-qaeda.html?hpw,True,False
20170324,New York Times,"C.I.A. Made Tools to Spy on Macs, WikiLeaks Disclosure Shows",https://www.nytimes.com/2017/03/23/technology/cia-spying-mac-computers-wikileaks.html,True,False
20111129,New York Times,Facebook Agrees to F.T.C. Settlement on Privacy,http://www.nytimes.com/2011/11/30/technology/facebook-agrees-to-ftc-settlement-on-privacy.html?hpw,True,Facebook
20111129,New York Times,S.&P. Cuts Ratings on Big Banks,http://dealbook.nytimes.com/2011/11/29/s-p-cuts-ratings-on-big-banks/?hp,True,S.&P.
20111129,New York Times,Jacksonâs Doctor Sentenced to 4 Years,http://www.nytimes.com/2011/11/30/us/michael-jacksons-doctor-sentenced-to-four-years.html?hp,True,False
20111129,New York Times,DealBook: S.&P. Cuts Ratings on Big Banks,http://dealbook.nytimes.com/2011/11/29/s-p-cuts-ratings-on-big-banks/?hpw,True,S.&P.
20130810,New York Times,Car Bombings Kill Scores Across Iraq,http://www.nytimes.com/2013/08/11/world/middleeast/car-bombings-kill-scores-across-iraq.html?hp,True,False
20111129,New York Times,Jacksonâs Doctor Sentenced to Four Years,http://www.nytimes.com/2011/11/30/us/michael-jacksons-doctor-sentenced-to-four-years.html?hpw,True,False
20130810,New York Times,"Amid Pipeline Debate, Two Costly Cleanups Forever Change Towns",http://www.nytimes.com/2013/08/11/us/amid-pipeline-debate-two-costly-cleanups-forever-change-towns.html?hpw,True,False
20130810,New York Times,"Japanâs Debt Looks Like This: 1,000,000,000,000,000 Yen",http://www.nytimes.com/2013/08/10/world/asia/japans-debt-reaches-new-milestone.html?hpw,True,Japan
20150511,New York Times,Ex-C.I.A. Officer Sentenced in Leak to Times Reporter,http://www.nytimes.com/2015/05/12/us/ex-cia-officer-sentenced-in-leak-case-tied-to-times-reporter.html,True,False
20070119,New York Times,Con Ed May Face Millions in Penalties After PanelÂs Finding That It Bungled Blackout,http://www.nytimes.com/2007/01/19/nyregion/19coned.html,True,Con Ed
20190222,New York Times,"New York Prosecutors Expected to Charge Manafort, Guarding Against Trump PardonThe Manhattan district attorneyâs office is preparing state criminal charges against Paul J. Manafort, Mr. Trumpâs former campaign chairman.",https://www.nytimes.com/2019/02/22/nyregion/manafort-pardon-trump.html,True,Government
20170325,New York Times,North Koreaâs Rising Ambition Seen in Bid to Breach Global Banks,https://www.nytimes.com/2017/03/25/technology/north-korea-hackers-global-banks.html,True,North Korea
20111130,New York Times,"Matthew P. Sapolin, Who Led Bloombergâs Office for Disabled, Dies at 41",http://www.nytimes.com/2011/11/30/nyregion/matthew-p-sapolin-who-led-bloombergs-office-for-disabled-dies-at-41.html?hpw,True,Bloomberg
20091211,New York Times,Greece Struggles to Stay Afloat as Debts Pile On,http://www.nytimes.com/2009/12/12/world/europe/12greece.html?hpw,True,Greece
20170326,New York Times,"Brands Try to Blacklist Breitbart, but Ads Slip Through Anyway",https://www.nytimes.com/2017/03/26/business/media/breitbart-advertising-blacklist.html,True,Breitbart
20111201,New York Times,"Andrew Kazdin, Record Producer, Dies at 77",http://www.nytimes.com/2011/12/01/arts/music/andrew-kazdin-classical-record-producer-dies-at-77.html?hpw,True,Andrew Kazdin
20130813,New York Times,FBI Tapes Indicate Serial Killer Victims in Wash,http://www.nytimes.com/aponline/2013/08/13/us/ap-us-alaska-serial-killer.html?hp,True,False
20091214,New York Times,22 Million Missing Bush White House E-Mails Found,http://www.nytimes.com/aponline/2009/12/14/us/politics/AP-US-White-House-E-mail.html,True,Government
20091214,New York Times,Viruses That Leave People Red in the Facebook,http://www.nytimes.com/2009/12/14/technology/internet/14virus.html,True,Facebook
20210219,New York Times,Justice Dept. Confronts Increasingly Complex Capitol Riot InquiryAdditional prosecutors and agents have been assigned to the investigation as officials try to stave off a backlog in the courts.,https://www.nytimes.com/2021/02/19/us/politics/capitol-riot-investigation.html,True,Government
20130814,New York Times,Times Web Site Returns After Hours Offline,http://www.nytimes.com/2013/08/15/business/media/new-york-times-web-site-returns-after-hours-offline.html?hp,True,New York Times
20150515,New York Times,Penn Stateâs Engineering School Hit by Cyberattack,http://bits.blogs.nytimes.com/2015/05/15/penn-states-college-of-engineering-hit-by-cyberattack/,True,Penn State
20150515,New York Times,Owner of Anonymous Hackers-for-Hire Site Steps Forward,http://www.nytimes.com/2015/05/13/business/dealbook/owner-of-anonymous-hackers-for-hire-site-steps-forward.html,True,Anonymous
20091215,New York Times,Grand Jury Indicts Galleon Chief and Associate,http://dealbook.blogs.nytimes.com/2009/12/15/grand-jury-indicts-rajaratnam-chiesi-in-galleon-case/index.html?hpw,True,Galleon Group
20130815,New York Times,Washington Post Says Site Breached,http://www.nytimes.com/2013/08/16/business/media/washington-post-says-site-breached-by-syrian-group.html?hp,True,Washington Post
20130815,New York Times,3 Guilty in Rape of U.S. Student in Rio,http://www.nytimes.com/2013/08/16/world/americas/3-convicted-of-raping-us-student-on-rio-transit-van.html?hp,True,False
20130816,New York Times,"N.S.A. Often Broke Rules on Privacy, Audit Shows",http://www.nytimes.com/2013/08/16/us/nsa-often-broke-rules-on-privacy-audit-shows.html,True,Government
20130816,New York Times,What Happens When the N.S.A. Gets Sloppy,http://takingnote.blogs.nytimes.com/2013/08/16/what-happens-when-the-n-s-a-gets-sloppy/?hp,True,Government
20170331,New York Times,"2 Sue Trump and U.S. Officials, Claiming They Are on âKill Listâ",https://www.nytimes.com/2017/03/31/world/middleeast/united-states-kill-list.html,True,False
20150518,New York Times,Years of Overlooked Red Flags Catch Up to Stockbroker,http://www.nytimes.com/2015/05/19/business/dealbook/years-of-overlooked-red-flags-catch-up-to-stockbroker.html,True,false
20150518,New York Times,"Fake Diplomas, Real Cash: Pakistani Company Axact Reaps Millions",http://www.nytimes.com/2015/05/18/world/asia/fake-diplomas-real-cash-pakistani-company-axact-reaps-millions-columbiana-barkley.html,True,Axact
20170401,New York Times,Flynn Failed to Disclose Income From Russia-Linked Entities,https://www.nytimes.com/2017/04/01/us/politics/michael-flynn-financial-disclosure-russia-linked-entities.html,True,Michael Flynn
20170401,New York Times,President Trumpâs Leaky Ship of State Some of the loosest lips belong to âpeople close to the White House.â,https://www.nytimes.com/2017/03/31/opinion/president-trumps-leaky-ship-of-state.html,True,Government
20111206,New York Times,Graphic: Exposure,http://www.nytimes.com/interactive/2011/12/06/world/asia/Conditions-at-Fukushima-Plant-Improve-But-Return-Home-Will-Take-Years.html,True,False
20150519,New York Times,"Takata, Airbag Maker, Will Double Recall, to 34 Million",http://www.nytimes.com/2015/05/20/business/takata-airbag-recall.html,True,Takata
20150519,New York Times,6 Chinese Charged in Theft of Secrets From Silicon Valley,http://www.nytimes.com/2015/05/20/technology/6-chinese-men-indicted-in-theft-of-code-from-us-tech-companies.html,True,False
20150519,New York Times,St. Louis Fed Confirms Hacking Attack,http://www.nytimes.com/2015/05/20/technology/st-louis-fed-confirms-hacking-attack.html,True,St. Louis Fed
20150520,New York Times,5 Banks to Plead Guilty in Currency and Rate Cases,http://www.nytimes.com/2015/05/21/business/dealbook/5-big-banks-to-pay-billions-and-plead-guilty-in-currency-and-interest-rate-cases.html,True,5 Banks
20170403,New York Times,Online Ad Points to North Korean Work on Hydrogen Bomb,https://www.nytimes.com/2017/04/03/us/politics/north-korea-nuclear-trump-china.html,True,North Korea
20070204,New York Times,Study Finds Security Flaws on Web Sites of Major Banks,http://www.nytimes.com/2007/02/05/technology/05secure.html,True,True
20150521,New York Times,Batch of Clinton Emails Captures Her Concerns Over Libya,http://www.nytimes.com/2015/05/22/us/politics/first-batch-of-hillary-clinton-emails-captures-concerns-over-libya.html,True,Government
20130820,New York Times,Gulf Spill Sampling Questioned,http://www.nytimes.com/2013/08/20/science/earth/new-analysis-of-gulf-oil-spill.html,True,False
20111209,New York Times,E.P.A. Links Tainted Water in Wyoming to Hydraulic Fracturing for Natural Gas,http://www.nytimes.com/2011/12/09/us/epa-says-hydraulic-fracturing-likely-marred-wyoming-water.html?hpw,True,False
20170405,New York Times,Facebook Loses Appeal to Block Bulk Search Warrants,https://www.nytimes.com/2017/04/04/nyregion/facebook-bulk-search-warrants-new-york-state.html,True,Facebook
20130821,New York Times,Court Found N.S.A. Collected Thousands of Domestic E-Mails,http://www.nytimes.com/2013/08/22/us/2011-ruling-found-an-nsa-program-unconstitutional.html?hp,True,False
20130821,New York Times,Manning Sentenced to 35 Years in WikiLeaks Case,http://www.nytimes.com/2013/08/22/us/manning-sentenced-for-leaking-government-secrets.html?hp,True,False
20130821,New York Times,Manning Sentenced to 35 Years for Leaking Government Secrets,http://www.nytimes.com/2013/08/22/us/manning-sentenced-for-leaking-government-secrets.html?hpw,True,Government
20130821,New York Times,Tank Has Leaked Tons of Contaminated Water at Japan Nuclear Site,http://www.nytimes.com/2013/08/21/world/asia/300-tons-of-contaminated-water-leak-from-japanese-nuclear-plant.html?hpw,True,False
20190307,New York Times,Paul Manafort Is Sentenced to 47 Months in Prison,https://www.nytimes.com/2019/03/07/us/politics/paul-manafort-sentencing.html,True,Paul Manafort
20210227,New York Times,Vulnerable Inmates Are Left in Prison as Covid Rages,https://www.nytimes.com/2021/02/27/health/coronavirus-prisons-danbury.html,True,False
20091224,New York Times,BlackBerry Breakdown Puts Users in Uproar,http://www.nytimes.com/2009/12/24/technology/companies/24blackberry.html?hpw,True,BlackBerry
20170406,New York Times,C.I.A. Had Early Evidence of Russian Effort to Help Trump,https://www.nytimes.com/2017/04/06/us/trump-russia-cia-john-brennan.html,True,Government
20190308,New York Times,"Was Paul Manafortâs Sentence Too Light?The former Trump campaign chairman was sentenced to 47 months, far less than the 19 to 24 years recommended. But about half of all federal sentences last year were below the guidelines.",https://www.nytimes.com/2019/03/08/us/politics/manafort-sentencing-controversy.html,True,False
20070209,New York Times,EMI May Sell Recordings Online With No Anti-Copying Software,http://www.nytimes.com/2007/02/09/business/media/09online.html,True,EMI
20130822,New York Times,DealBook: Nasdaq Market Overcomes Trading Failure,http://dealbook.nytimes.com/2013/08/22/nasdaq-market-halts-trading/?hpw,True,Nasdaq
20070210,New York Times,"Deadliest Bomb in Iraq Is Made by Iran, U.S. Says",http://www.nytimes.com/2007/02/10/world/middleeast/10weapons.html?hp&ex=1171170000&en=e9a9ae56cb1df98a&ei=5094&partner=homepage,True,Iran
20070210,New York Times,U.S. Inquiry on Bonds at Big Bank,http://www.nytimes.com/2007/02/10/business/10muni.html,True,True
20091226,New York Times,"Search for Answers, Tighter Security After Attack",http://www.nytimes.com/aponline/2009/12/27/us/AP-US-Airliner-Attack.html,True,False
20091226,New York Times,Back From the Brink (but Watch Your Step),http://www.nytimes.com/2009/12/27/business/economy/27review.html?hpw,True,False
20070211,New York Times,"Deadliest Bomb in Iraq is Made by Iran, U.S. Says",http://www.nytimes.com/2007/02/10/world/middleeast/10weapons.html?bl&ex=1171342800&en=92b1f763af0e8f1c&ei=5087%0A,True,Iran
20190310,New York Times,On Disability? The Government Wants to See Your Facebook Posts,https://www.nytimes.com/2019/03/10/us/politics/social-security-disability-trump-facebook.html,True,Government
20190311,New York Times,"airline DISASTERLive Updates: F.A.A. Takes No Action as Some Airlines Ground Boeing JetsSeveral countries and carriers grounded Boeingâs 737 Max 8 jets after a deadly crash in Ethiopia, but the F.A.A. said it did not have enough information.Investigators have not determined the cause of the crash, but some circumstances were similar to one in October in Indonesia. Stay here for updates.",https://www.nytimes.com/2019/03/11/world/boeing-737-max-air-crash-ethiopia.html,True,Boeing
