Date,Publication,Headline,URL,BreachMentioned,CompanyMentioned
20150430,USA Today,LinkedIn plunges on weak outlook,http://www.usatoday.com/story/tech/2015/04/30/linkedin-first-quarter/26653185/,True,LinkedIn
20111121,USA Today,Supercommittee fails to reach debt-reduction deal,http://www.usatoday.com/news/washington/story/2011-11-21/US-Debt-Supercommittee/51337976/1,True,false
20111121,USA Today,DOW: Drops 250 on debt news,http://www.usatoday.com/money/markets/story/2011-11-21/STOCKS-Monday/51332500/1,True,DOW
20111121,USA Today,Ex-Madoff trader admits to fake financial statements,http://www.usatoday.com/money/industries/brokerage/story/2011-11-21/Madoff-Employee-Plea/51336546/1,True,Madoff
20190211,USA Today,Sanchez' brother leaked Bezos' texts: report,https://www.usatoday.com/story/money/2019/02/11/brother-bezos-girlfriend-reportedly-leaked-bawdy-texts-and-photos/2835712002/,True,Bezos
20170315,USA Today,"Four charged, including 2 Russian intel officers, inâ¦3Â hours, 6Â minutes              | News",http://www.usatoday.com/story/tech/news/2017/03/15/four-charged-including-2-russian-intelligence-officers-in-massive-yahoo-hacks/99208582/,True,Yahoo
20170315,USA Today,Twitter got hacked â even a BBC account. Do this one thing to protectâ¦,http://www.usatoday.com/story/tech/talkingtech/2017/03/15/twitter-hack-swastikas-cyber-hack-account-protection/99200282/,True,Twitter
20210206,USA Today,Supreme Court blocks some COVID-19 rules for churches in California,https://www.usatoday.com/story/news/politics/2021/02/06/supreme-court-blocks-calif-prohibiting-indoor-church-services/4324338001/,True,False
20190212,USA Today,Bacteria-infected raw milk reaches 19 states,https://www.usatoday.com/story/news/2019/02/12/infected-raw-milk-pa-farm-reached-people-19-states-cdc-says/2849261002/,True,False
20170317,USA Today,News                     Secret Service employee's laptop stolen in NYC,http://www.usatoday.com/story/news/2017/03/17/laptop-secret-service-employee-stolen/99316412/,True,Secret Service
20190214,USA Today,"Apple, Google criticized for Saudi tracking app",https://www.usatoday.com/story/tech/news/2019/02/13/apple-google-criticized-saudi-app-lets-men-track-women/2857174002/,True,"Apple, Google"
20190215,USA Today,Recall: Washing Honda Ridgelines can cause fire,https://www.usatoday.com/story/money/cars/2019/02/15/honda-recall-car-wash-soap-could-case-ridgeline-pickups-catch-fire/2880436002/,True,Honda
20150505,USA Today,MoneyESPN vs. FiOS: Contract breach or consumer extortion?,http://www.usatoday.com/story/money/2015/05/05/michael-antonoff-espn-vs-fios/26862595/,True,ESPN
20111125,USA Today,Debt crisis escalates in Italy as rates rocket,http://www.usatoday.com/money/world/story/2011-11-25/Italy-debt-crisis/51397718/1,True,Italy
20170321,USA Today,Police: Alleged gang rape streamed on Facebook,http://www.usatoday.com/story/news/2017/03/21/chicago-gang-rape-teen-streamed-facebook-live/99447884/,True,Facebook
20150508,USA Today,Cyber extortionists target hedge funds,http://www.usatoday.com/story/money/business/2015/05/08/hedge-funds-conference-cyber-espionage/26983845/,True,False
20190219,USA Today,Charo breaks silence on husband's suicide,https://www.usatoday.com/story/life/people/2019/02/19/charo-husband-kjell-rastens-death-suicide-not-answer/2916773002/,True,False
20210214,USA Today,Cuomo aide admits withholding COVID-19 nursing home data amid inquiry,https://www.usatoday.com/story/news/nation/2021/02/14/andrew-cuomo-nursing-home-private-call-cover-up/4485172001/,True,Government
20210214,USA Today,White House aide TJ Ducklo resigns after threateningâ¦,https://www.usatoday.com/story/news/politics/2021/02/13/tj-ducklo-resigns-white-house-press-aide-after-threatening-reporter/4478936001/,True,False
20190221,USA Today,"Your smart TV is spying on you, for money",https://www.usatoday.com/story/tech/talkingtech/2019/02/21/why-tvs-so-cheap-now-your-smart-tv-spying-you-money/2910013002/,True,False
20111129,USA Today,S&P downgrades credit ratings of top U.S. banks,http://www.usatoday.com/money/industries/banking/story/2011-11-29/s-and-p-downgrades-banks/51474776/1,True,True
20111129,USA Today,Conrad Murray gets four years in Jackson death,http://www.usatoday.com/news/nation/story/2011-11-29/michael-jackson-doctor-murray-sentencing/51469570/1,True,False
20111129,USA Today,Facebook settles with FTC over deception charges,http://www.usatoday.com/tech/news/story/2011-11-29/facebook-settles-with-ftc/51467448/1,True,Facebook
20190223,USA Today,Prosecutors urge harsh sentence for Manafort,https://www.usatoday.com/story/news/politics/2019/02/23/paul-manafort-prosecutors-prison-term/2953940002/,True,Government
20210217,USA Today,North Korean operatives charged in hacking campaign,https://www.usatoday.com/story/news/politics/2021/02/17/us-charges-north-korean-intel-operatives-global-hacking-campaign/6781478002/,True,North Korean operatives
20150513,USA Today,U.S. relay team stripped of 2012 Olympic medals,http://www.usatoday.com/story/sports/olympics/2015/05/13/ap-sources-ioc-strips-us-of-relay-medals-in-gay-doping-case/27242171/,True,False
20170327,USA Today,"Breitbart staff list reveals more ties to Bannon, Mercer",http://www.usatoday.com/story/news/politics/2017/03/27/breitbart-bannon-mercer-senate-press-gallery/99692706/,True,Breitbart
20210218,USA Today,US Olympic medalist investigated over allegationsâ¦,https://www.usatoday.com/story/sports/olympics/2021/02/18/former-olympic-figure-skater-peter-oppegard-investigated-over-abuse/4489527001/,True,Peter Oppegard
20170328,USA Today,"1 million pounds of chicken nuggets, chicken fingers recalled over 'metalÂ objects'",http://www.usatoday.com/story/money/nation-now/2017/03/28/nearly-1-million-pounds-ok-good-inc-breaded-chicken-recalled-over-metal-objects/99720736/,True,OK Good Inc.
20190226,USA Today,Ex-NBA star out as HS coach amid allegations,https://www.usatoday.com/story/sports/nba/2019/02/26/mike-bibby-out-shadow-mountain-basketball-high-school-coach-amid-sexual-abuse-allegations/2993492002/,True,Mike Bibby
20210219,USA Today,Kroger warns customers of third-party data breach,https://www.usatoday.com/story/money/business/2021/02/19/kroger-warns-customers-data-breach-email-prescription-patient-details/4516125001/,True,Kroger
20210219,USA Today,6 more Oath Keepers' associates charged in Capitol riot conspiracy case,https://www.usatoday.com/story/news/politics/2021/02/19/6-more-oath-keepers-associates-charged-capitol-riot-conspiracy-case/4512038001/,True,False
20210219,USA Today,Crystal cruise company will require COVID vaccineâ¦,https://www.usatoday.com/story/travel/cruises/2021/02/19/covid-vaccine-required-crystal-cruises-passengers/4505465001/,True,Crystal cruise company
20150515,USA Today,"Blue Bell lays off 1,450 workers; 1,400 furloughed",http://www.usatoday.com/story/money/business/2015/05/15/blue-bell-layoffs/27389163/,True,Blue Bell
20150515,USA Today,Chinese hackers hit Penn State computer system,http://www.usatoday.com/story/tech/2015/05/15/university-of-pennsylvania-penn-china-cyber-attack/27373601/,True,Penn State
20150515,USA Today,Starbucks customers' mobile accounts breached by thieves,http://www.usatoday.com/story/tech/2015/05/15/starbucks-gift-card-hack/27370491/,Yes,Starbucks
20190227,USA Today,TikTok to pay $5.7-million in child privacy case,https://www.usatoday.com/story/tech/2019/02/27/ftc-childrens-privacy-case-tiktok-video-app-paying-record-settlement/3006921002/,True,TikTok
20210220,USA Today,Feds deport former concentration camp guard who lived for years in Tennessee,https://www.usatoday.com/story/news/nation/2021/02/20/feds-deport-former-concentration-camp-guard-who-lived-tennessee/4525075001/,True,False
20111204,USA Today,Ocean Spray expands Craisins recall,http://yourlife.usatoday.com/fitness-food/safety/story/2011-12-02/Ocean-Spray-expands-Craisins-recall/51595420/1,True,Ocean Spray
20150517,USA Today,Officials investigating if hacker took over plane,http://www.usatoday.com/story/tech/2015/05/17/hacker-sideways-chris-roberts-fbi-united/27492409/,True,United Airlines
20111205,USA Today,New rule aims to protect client funds after MF Global,http://www.usatoday.com/money/markets/story/2011-12-05/cftc-trading-rule-customer-money/51652694/1,True,MF Global
20210222,USA Today,"In mourning: 500,000 COVID deaths that will beâ¦",https://www.usatoday.com/story/opinion/voices/2021/02/22/500-000-covid-19-deaths-nation-reaches-grim-mark/4541446001/,True,False
